Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,total_squared_error,marker_error_RMS,marker_error_max,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
1,0.00000000,-257.05756,456.20494,-420.72373,-227.56839,391.60918,-394.42623,-267.75751,95.42239,-431.08243,-336.00519,58.82128,-466.85280,-164.17904,45.51195,-407.46158,-123.49551,66.17876,-463.07361,-261.18188,453.39556,-805.59142,-214.61449,393.74658,-810.97451,-264.64888,95.58337,-788.31661,-337.66392,59.71159,-739.02632,-173.76146,43.23724,-809.17328,-125.87903,66.75317,-754.10155,-233.98797,280.32373,-391.18103,-301.20370,394.12901,-408.86783,-314.95024,278.54216,-409.10045,-302.11346,403.40397,-828.48474,-302.21069,280.93008,-827.81779,-545.44008,563.89697,-482.58751,-435.97325,560.08367,-455.84400,-425.30734,521.22653,-403.19357,-565.87705,482.25806,-407.23900,-449.96927,469.63328,-395.84854,-535.28387,552.13514,-786.99006,-396.29605,545.83589,-792.41992,-544.89471,441.27626,-820.74683,-402.68884,442.44874,-824.41857,-606.35720,590.52682,-488.94195,-782.59784,521.12979,-563.05070,-618.60746,598.48363,-748.23587,-785.94532,517.32350,-670.57545,-734.10668,1013.68365,-598.19250,-667.64263,962.04705,-449.58835,-671.77572,966.70697,-767.98113,-612.98440,931.64336,-586.54323,-615.30932,931.15124,-630.58780,-674.48154,726.77249,-367.40509,-700.32400,626.39796,-451.20115,-696.82054,644.96562,-352.35615,-587.69582,677.43506,-360.64255,-480.31501,707.39845,-384.22956,-469.92277,662.94604,-387.12589,-656.46229,833.61643,-822.21871,-706.93586,616.65501,-774.82191,-720.38886,630.40029,-845.97371,-614.15146,664.22837,-865.39980,-500.12685,695.44444,-855.74814,-487.77050,659.94737,-857.97693,-631.83287,493.30914,-522.00134,-636.97810,503.33641,-721.97636,-629.00913,495.28400,-521.45609,-634.33942,489.22312,-692.67129,0.00000000,0.01290833,0.01732610,0.03396032,0.00000000,32.55418044,4.09679931,3.08805712,-0.61944658,0.58684311,-0.61716140,53.17816027,-11.40465965,5.50669351,89.87443817,1.56860486,8.71899253,0.87859429,-5.19654754,52.15619943,-0.60249057,-1.25964359,87.27634466,1.52325957,2.13395148,-5.81529739,-5.19654754,-45.39937809,-1.57626424,-3.45799716,2.48566354,-2.37363936,-13.01549519,113.93088542,89.28943393,1.88948108,-1.31454382,-15.64330709,113.13902523,90.02932541
2,0.01000000,-256.93802,456.20266,-420.97029,-227.61637,391.57118,-394.53968,-267.72780,95.50132,-430.99208,-336.01941,58.82659,-466.95012,-164.11918,45.45028,-407.56489,-123.51347,66.17074,-463.10428,-261.19600,453.40275,-805.58973,-214.61337,393.75690,-810.97704,-264.64875,95.57532,-788.31703,-337.55687,59.67246,-738.92594,-173.76149,43.23305,-809.17144,-125.85973,66.77083,-754.13171,-233.98353,280.31720,-391.19620,-301.25080,394.07223,-409.05861,-314.96997,278.56024,-409.13324,-302.14726,403.34833,-828.41887,-302.20747,280.94159,-827.77082,-545.56139,563.93582,-482.63848,-436.06546,560.19755,-455.85951,-425.49973,521.20015,-403.36873,-566.08344,482.30009,-407.29361,-450.08030,469.61003,-395.90600,-535.36924,552.11835,-787.06927,-396.30105,545.84834,-792.46590,-544.87503,441.26880,-820.89470,-402.69587,442.41691,-824.41141,-606.34173,590.60357,-489.10882,-782.61321,521.07803,-563.05009,-618.66066,598.67435,-748.17498,-785.94369,517.33344,-670.58545,-734.06235,1013.70553,-598.17443,-667.64264,962.04458,-449.60842,-671.78195,966.71266,-767.96336,-612.93671,931.68185,-586.53039,-615.25692,931.21579,-630.54020,-674.50282,726.80578,-367.39310,-700.37323,626.37675,-451.30325,-696.82304,644.97976,-352.32863,-587.71639,677.50151,-360.62205,-480.32908,707.40096,-384.18930,-469.98580,662.92862,-387.18031,-656.50720,833.61943,-822.19287,-707.00729,616.69787,-774.79770,-720.46106,630.42188,-845.95741,-614.25442,664.17567,-865.33582,-500.16464,695.34263,-855.77896,-487.84516,659.89988,-857.98053,-631.76567,493.37215,-522.08151,-636.98343,503.48903,-722.05016,-628.99886,495.40091,-521.64451,-634.29720,489.44374,-692.71858,0.01000000,0.01282319,0.01726887,0.03378901,0.01000000,32.73470114,4.16238347,3.07174684,-0.61963730,0.58720309,-0.61718746,52.94787792,-11.45642617,5.58172627,89.85232467,1.56821891,9.03859741,1.40256531,-5.29039541,51.89664782,-0.57008126,-1.33926913,87.19436969,1.52182884,2.06820328,-5.87078925,-5.29039541,-45.60220924,-1.62367489,-3.56441127,2.58932572,-2.33057710,-13.00299036,113.79222158,89.72413709,1.88186043,-1.30410145,-15.78364147,113.13630142,90.44654419
3,0.02000000,-256.87833,456.18746,-421.08454,-227.65794,391.57998,-394.62613,-267.73642,95.51999,-430.98210,-336.02462,58.80277,-466.98811,-164.12645,45.46631,-407.55004,-123.52685,66.21057,-463.13434,-261.21921,453.41857,-805.54057,-214.59641,393.77751,-810.93134,-264.64226,95.56943,-788.33189,-337.54391,59.66674,-738.92756,-173.76215,43.22721,-809.17575,-125.84924,66.79027,-754.16633,-234.00652,280.40514,-391.25427,-301.32361,394.08008,-409.11745,-314.96066,278.54264,-409.04535,-302.12039,403.38580,-828.44869,-302.19034,280.95374,-827.75908,-545.60492,563.98598,-482.68598,-436.11768,560.23741,-455.93585,-425.54829,521.25813,-403.41979,-566.19621,482.32096,-407.30739,-450.15856,469.61340,-395.95737,-535.45931,552.15618,-787.13504,-396.31710,545.86827,-792.50361,-544.87015,441.24744,-820.93125,-402.70181,442.36635,-824.30349,-606.34252,590.63528,-489.17872,-782.62316,521.12374,-563.04539,-618.62353,598.63042,-748.18386,-785.93667,517.34737,-670.59897,-733.95949,1013.73185,-598.07442,-667.59864,962.06802,-449.48613,-671.77222,966.72662,-767.93852,-612.88211,931.71687,-586.52083,-615.17364,931.29027,-630.44580,-674.53983,726.81480,-367.37801,-700.37292,626.33184,-451.26078,-696.83289,644.99383,-352.31345,-587.67125,677.55761,-360.53590,-480.32719,707.40598,-384.14426,-469.98920,662.93929,-387.15635,-656.53350,833.62852,-822.16461,-707.12509,616.90278,-774.76264,-720.53490,630.45074,-845.94043,-614.33238,664.15917,-865.33186,-500.20268,695.26492,-855.81350,-487.91481,659.79174,-857.98698,-631.77639,493.40122,-522.07877,-636.98114,503.45298,-722.05099,-629.02650,495.44407,-521.67924,-634.29560,489.43893,-692.70957,0.02000000,0.01279737,0.01725147,0.03369139,0.02000000,32.70932348,4.14474851,3.07435288,-0.61961260,0.58719979,-0.61721631,52.96763957,-11.43167142,5.57400579,89.84145804,1.56802925,8.98553750,1.30780304,-5.51828824,51.92933349,-0.57530527,-1.31727984,87.20348714,1.52198797,2.11751394,-5.79368479,-5.51828824,-45.57473165,-1.59380765,-3.55041857,2.58697222,-2.33778376,-13.06866762,113.63039422,91.68925320,1.86035472,-1.28705864,-15.86908420,112.91042580,92.11844958
4,0.03000000,-256.97248,456.14420,-421.03603,-227.73368,391.61418,-394.68828,-267.76657,95.49708,-431.02298,-336.03200,58.76205,-466.98647,-164.16896,45.55886,-407.48320,-123.53426,66.28371,-463.14827,-261.24721,453.43917,-805.45658,-214.57682,393.81523,-810.86330,-264.65459,95.54668,-788.30894,-337.60777,59.67300,-738.98778,-173.76466,43.21952,-809.18313,-125.84709,66.79305,-754.17934,-234.02528,280.55361,-391.34859,-301.39658,394.11852,-409.11315,-314.93134,278.46708,-408.87411,-302.06855,403.46610,-828.51515,-302.17485,280.97771,-827.75872,-545.65224,564.05265,-482.74881,-436.16092,560.20035,-455.99680,-425.50956,521.35605,-403.41357,-566.21715,482.36155,-407.32580,-450.21077,469.64028,-396.01439,-535.55401,552.20392,-787.17312,-396.34596,545.89200,-792.52831,-544.87385,441.19293,-820.84003,-402.71356,442.31483,-824.12000,-606.32733,590.66724,-489.22481,-782.65934,521.24932,-563.06533,-618.50226,598.40749,-748.20552,-785.92924,517.36750,-670.61211,-733.85034,1013.78205,-597.94444,-667.49691,962.13169,-449.28548,-671.74012,966.75581,-767.89628,-612.80330,931.75071,-586.49610,-615.04226,931.37766,-630.31902,-674.57295,726.79831,-367.36219,-700.35673,626.18933,-451.11904,-696.83461,645.01556,-352.30034,-587.60695,677.57095,-360.42934,-480.30483,707.40907,-384.08688,-469.97228,662.93224,-387.09503,-656.54081,833.64885,-822.14386,-707.27458,617.23297,-774.71044,-720.60424,630.49398,-845.91749,-614.39312,664.17157,-865.37001,-500.23681,695.20501,-855.84270,-487.97226,659.63469,-857.97717,-631.84768,493.42284,-522.01388,-636.96849,503.27363,-721.99820,-629.10451,495.47238,-521.63260,-634.30379,489.30025,-692.63457,0.03000000,0.01281171,0.01726113,0.03351722,0.03000000,32.69053737,4.08472191,3.07069839,-0.61961013,0.58719225,-0.61720199,52.96912523,-11.35845082,5.52865627,89.81516388,1.56757033,8.82389766,0.97029907,-5.91642660,51.95717943,-0.62274938,-1.25474013,87.22799007,1.52241563,2.27522678,-5.60762845,-5.91642660,-45.57178955,-1.52814414,-3.46499130,2.56476092,-2.38054145,-12.99314826,114.01249508,87.93175041,1.85916290,-1.28432046,-15.69246673,113.31475499,88.37906176
5,0.04000000,-257.12523,456.11081,-421.03927,-227.83167,391.66895,-394.71792,-267.78497,95.48455,-431.03688,-336.05030,58.73489,-466.99608,-164.20044,45.63264,-407.48223,-123.54121,66.33819,-463.16143,-261.27774,453.45493,-805.38307,-214.56471,393.85094,-810.80712,-264.67017,95.55252,-788.30515,-337.65223,59.65303,-738.99969,-173.77173,43.21342,-809.18555,-125.84872,66.78291,-754.16597,-234.00627,280.66025,-391.47007,-301.49015,394.10952,-409.21985,-314.93638,278.40206,-408.80127,-302.05444,403.50929,-828.50067,-302.15454,281.01984,-827.75509,-545.76562,564.10720,-482.80102,-436.26920,560.14575,-456.01660,-425.54491,521.38721,-403.46456,-566.26728,482.42129,-407.39512,-450.26641,469.65812,-396.06971,-535.62033,552.21618,-787.20768,-396.38287,545.89951,-792.52564,-544.88949,441.15255,-820.76898,-402.73548,442.29916,-823.99198,-606.25392,590.76957,-489.37946,-782.71255,521.38244,-563.19525,-618.40012,598.24585,-748.20233,-785.92906,517.40892,-670.61643,-733.73846,1013.86638,-597.85541,-667.34464,962.23681,-449.14199,-671.66606,966.82740,-767.81984,-612.66750,931.79528,-586.39664,-614.87027,931.48361,-630.20914,-674.57751,726.80211,-367.33795,-700.36355,626.04516,-451.03328,-696.81623,645.04498,-352.27279,-587.59238,677.54445,-360.37180,-480.26458,707.39540,-383.99754,-469.97837,662.87366,-387.06102,-656.53342,833.69482,-822.11978,-707.38325,617.45753,-774.67919,-720.65920,630.55520,-845.90019,-614.44726,664.19024,-865.39825,-500.25510,695.13836,-855.86088,-488.01260,659.49006,-857.98260,-631.89036,493.49127,-522.00803,-636.95587,503.15253,-722.00311,-629.17475,495.58481,-521.68104,-634.29173,489.26365,-692.56989,0.04000000,0.01283567,0.01727727,0.03351882,0.04000000,32.59905111,4.06902436,3.10205676,-0.61954069,0.58709370,-0.61732256,53.06995835,-11.39257440,5.48831870,89.81651350,1.56759388,8.81711032,0.93383576,-5.94740507,52.07439673,-0.58219783,-1.21753091,87.23436902,1.52252696,2.26830654,-5.70894602,-5.94740507,-45.49030224,-1.48393085,-3.45537076,2.51025313,-2.42890631,-12.95356335,114.09023424,87.63844214,1.81360975,-1.26825598,-15.62941227,113.33077041,88.09426871
6,0.05000000,-257.19511,456.11978,-421.25931,-227.92698,391.75862,-394.74377,-267.79486,95.48901,-431.01806,-336.07175,58.72075,-467.03405,-164.22146,45.62745,-407.53652,-123.55420,66.36569,-463.20441,-261.31586,453.46280,-805.33721,-214.54431,393.84896,-810.73651,-264.65162,95.62992,-788.41983,-337.61374,59.63627,-738.97161,-173.78180,43.21439,-809.18167,-125.84914,66.78594,-754.16268,-233.98864,280.69628,-391.61798,-301.64204,394.05729,-409.45832,-314.99669,278.45306,-408.87818,-302.09165,403.49567,-828.36444,-302.10969,281.07596,-827.76564,-545.85623,564.09224,-482.74933,-436.45705,560.11721,-456.06668,-425.66029,521.36905,-403.55790,-566.40961,482.44106,-407.48593,-450.33666,469.66115,-396.10463,-535.63476,552.23004,-787.25874,-396.42926,545.88245,-792.47763,-544.92689,441.17427,-820.83297,-402.76371,442.32156,-823.99621,-606.14998,590.89990,-489.57401,-782.74435,521.55488,-563.42536,-618.33285,598.16784,-748.25692,-785.93767,517.51390,-670.64459,-733.55888,1013.95841,-597.78364,-667.14429,962.34856,-449.04568,-671.52217,966.95674,-767.71019,-612.45661,931.87268,-586.21720,-614.65809,931.61358,-630.13645,-674.53633,726.87844,-367.26494,-700.34923,626.08721,-450.99158,-696.78912,645.07927,-352.23625,-587.59474,677.53607,-360.33445,-480.21005,707.35046,-383.86977,-469.95604,662.83581,-387.00217,-656.49867,833.77882,-822.05035,-707.40543,617.48712,-774.66828,-720.70184,630.64787,-845.87148,-614.48879,664.20476,-865.39117,-500.25802,695.05920,-855.90447,-488.03918,659.38027,-858.06319,-631.91286,493.59175,-522.08467,-636.95628,503.11422,-722.08700,-629.21099,495.72791,-521.78552,-634.29765,489.29106,-692.57585,0.05000000,0.01283902,0.01727952,0.03372384,0.05000000,32.56078310,4.02277748,3.09385305,-0.61954174,0.58711142,-0.61740914,53.08549278,-11.32965291,5.49173224,89.78662554,1.56707224,8.87337173,1.02308483,-5.95861707,52.12888927,-0.60829342,-1.19115849,87.23488774,1.52253601,2.00169687,-5.96105883,-5.95861707,-45.46989768,-1.41854896,-3.41677602,2.52774784,-2.41822613,-13.00125289,114.20442853,86.51482641,1.79642000,-1.23005241,-15.66390485,113.41300916,87.00054459
7,0.06000000,-257.28788,456.11918,-421.57961,-228.05350,391.85467,-394.83002,-267.82072,95.48595,-431.01702,-336.09365,58.69975,-467.07523,-164.23159,45.61980,-407.56124,-123.57688,66.40869,-463.26073,-261.36126,453.46699,-805.29534,-214.52001,393.82933,-810.64751,-264.68082,95.59650,-788.35539,-337.53833,59.65583,-738.97563,-173.78840,43.22359,-809.17767,-125.84569,66.80210,-754.18047,-234.01484,280.70661,-391.74676,-301.80434,394.02000,-409.68713,-315.07962,278.58726,-408.95242,-302.14903,403.45317,-828.18360,-302.07249,281.12129,-827.77572,-545.87619,564.03042,-482.61186,-436.65060,560.13451,-456.15551,-425.75316,521.37184,-403.64683,-566.55869,482.44759,-407.50938,-450.40484,469.68523,-396.12562,-535.63392,552.26936,-787.28856,-396.48716,545.86120,-792.39838,-544.97382,441.20764,-820.91468,-402.78881,442.32751,-824.02362,-606.05900,590.98790,-489.66864,-782.77431,521.84601,-563.58836,-618.19976,598.09452,-748.40439,-785.94539,517.74222,-670.78423,-733.30872,1014.04636,-597.67806,-666.88098,962.44572,-448.89307,-671.30594,967.10880,-767.58957,-612.19045,932.00193,-586.06406,-614.37572,931.76598,-630.05713,-674.42981,727.01272,-367.11764,-700.25687,626.26053,-450.81051,-696.75011,645.13959,-352.19065,-587.56202,677.57636,-360.24287,-480.13555,707.29521,-383.72932,-469.84424,662.88873,-386.82193,-656.42100,833.89496,-821.92339,-707.37079,617.51909,-774.55982,-720.74865,630.80093,-845.74650,-614.51115,664.21393,-865.34971,-500.25986,694.97394,-855.99996,-488.05077,659.25876,-858.16607,-631.98795,493.68672,-522.16236,-636.96184,503.09021,-722.17203,-629.27149,495.80892,-521.83230,-634.32471,489.26963,-692.65033,0.06000000,0.01282767,0.01727188,0.03392607,0.06000000,32.48562967,4.00092327,3.12792633,-0.61946524,0.58714704,-0.61751244,53.13827310,-11.32370036,5.47582952,89.78444705,1.56703422,8.90330722,1.05222941,-5.96068786,52.21241795,-0.59694082,-1.18238807,87.22385924,1.52234353,2.01436690,-6.00811895,-5.96068786,-45.43607068,-1.38050333,-3.41930553,2.49757451,-2.48691194,-12.99891374,114.19205775,86.57013482,1.76731523,-1.18809934,-15.67944891,113.34356659,87.04619897
8,0.07000000,-257.48045,456.05878,-421.83868,-228.19198,391.93918,-394.94129,-267.86299,95.47316,-431.04153,-336.11270,58.67348,-467.07473,-164.23452,45.66892,-407.53804,-123.60792,66.47694,-463.28630,-261.41182,453.47821,-805.21695,-214.52983,393.86417,-810.60567,-264.83395,95.31408,-787.83870,-337.53864,59.64082,-738.97662,-173.79035,43.23577,-809.17516,-125.84307,66.81732,-754.19005,-234.04841,280.72036,-391.81125,-301.90446,394.01946,-409.81426,-315.16581,278.66095,-408.94377,-302.18233,403.44854,-828.08183,-302.08462,281.11520,-827.75833,-545.92896,564.02617,-482.54829,-436.76659,560.20250,-456.25626,-425.82246,521.36074,-403.73639,-566.63781,482.53925,-407.39884,-450.46181,469.72347,-396.15347,-535.65521,552.28319,-787.28914,-396.54255,545.85351,-792.32859,-545.01715,441.20676,-820.86907,-402.79777,442.26063,-823.86061,-605.95205,591.06933,-489.72640,-782.82114,522.17128,-563.62522,-618.02110,598.20438,-748.52822,-785.93561,518.08586,-671.03150,-733.02773,1014.17170,-597.51455,-666.55890,962.57357,-448.70151,-671.02505,967.25402,-767.46588,-611.88752,932.18066,-586.01072,-614.02643,931.93802,-629.92100,-674.27164,727.14961,-366.93269,-700.12424,626.34914,-450.47612,-696.67614,645.25266,-352.11461,-587.48964,677.64331,-360.09926,-480.01806,707.27727,-383.58744,-469.68745,662.95380,-386.56114,-656.30555,834.03617,-821.78339,-707.32847,617.76491,-774.27864,-720.81266,631.01255,-845.48100,-614.51056,664.25621,-865.32718,-500.23888,694.87636,-856.09921,-488.03375,659.09193,-858.18266,-632.04982,493.79763,-522.26222,-636.95030,503.21789,-722.27281,-629.34188,495.88934,-521.93199,-634.29664,489.38996,-692.79627,0.07000000,0.01281273,0.01726182,0.03404189,0.07000000,32.40691112,3.99561487,3.10763070,-0.61940357,0.58720146,-0.61762283,53.21144652,-11.30030466,5.50022265,89.76094973,1.56662411,8.91709764,1.05800963,-5.96071991,52.26402505,-0.56937560,-1.19480628,87.21639596,1.52221327,2.02464924,-6.08664906,-5.96071991,-45.36695337,-1.33582585,-3.38263489,2.52500331,-2.54941504,-13.00168382,114.16790428,86.59526561,1.75734447,-1.14457513,-15.70423700,113.25358704,87.06528866
9,0.08000000,-257.57669,455.96844,-422.03499,-228.27216,392.01682,-394.98913,-267.89400,95.46790,-431.05340,-336.11348,58.65524,-467.02551,-164.24749,45.70494,-407.51407,-123.63968,66.52856,-463.27370,-261.46195,453.51358,-805.09515,-214.57157,393.95494,-810.61481,-264.94328,95.12739,-787.46177,-337.63661,59.53989,-738.90585,-173.79044,43.24836,-809.16880,-125.84750,66.83339,-754.17914,-234.05495,280.73650,-391.83308,-301.93465,394.05916,-409.86716,-315.24050,278.64938,-408.92350,-302.18081,403.51011,-828.05425,-302.12092,281.08134,-827.72626,-546.07767,564.08866,-482.58590,-436.80637,560.27330,-456.38169,-425.89046,521.33848,-403.79289,-566.67371,482.69913,-407.23827,-450.52049,469.72063,-396.19845,-535.67831,552.24966,-787.32913,-396.57604,545.85738,-792.28732,-545.05763,441.21289,-820.75870,-402.78570,442.14867,-823.48599,-605.79848,591.18599,-489.85914,-782.84506,522.38699,-563.65803,-617.93215,598.57027,-748.53781,-785.91555,518.42694,-671.21589,-732.72823,1014.35354,-597.30164,-666.22993,962.73174,-448.60499,-670.67254,967.41825,-767.34197,-611.53559,932.38923,-585.99288,-613.65670,932.12769,-629.78639,-674.11955,727.27156,-366.76541,-700.02642,626.30451,-450.18688,-696.58027,645.40309,-352.01626,-587.34629,677.72041,-359.96319,-479.83993,707.30363,-383.40654,-469.56863,662.91722,-386.35230,-656.13584,834.22329,-821.68492,-707.30770,618.34068,-773.91636,-720.88875,631.23922,-845.15822,-614.48005,664.39357,-865.40971,-500.14110,694.77290,-856.17766,-487.98871,658.92349,-858.13540,-632.00159,493.93353,-522.42642,-636.93326,503.55272,-722.42673,-629.34119,496.04249,-522.16756,-634.21706,489.75408,-692.96740,0.08000000,0.01273298,0.01720802,0.03389013,0.08000000,32.34122149,4.00794064,3.07191258,-0.61933273,0.58736314,-0.61765609,53.25718046,-11.27219398,5.56430900,89.71756205,1.56586685,9.03740081,1.18165061,-6.29442503,52.28266299,-0.56163650,-1.24465553,87.17906764,1.52156177,2.08726336,-6.13439575,-6.29442503,-45.32604448,-1.33339486,-3.39558297,2.55413522,-2.56769354,-13.17209354,113.67606797,92.03885467,1.74402382,-1.02060539,-16.03456002,112.65481300,91.35744112
10,0.09000000,-257.48484,455.91987,-422.32531,-228.30988,392.04707,-395.02277,-267.90191,95.47789,-431.04572,-336.10259,58.64672,-466.96975,-164.25762,45.69999,-407.51057,-123.66956,66.55115,-463.25759,-261.49636,453.58290,-804.97522,-214.58491,394.02490,-810.56964,-264.85073,95.35065,-787.79961,-337.71876,59.46048,-738.82943,-173.78691,43.26725,-809.16205,-125.85751,66.85146,-754.16486,-234.06389,280.75249,-391.84761,-301.92788,394.13224,-409.89139,-315.28522,278.66942,-408.95462,-302.17096,403.58711,-827.96082,-302.13631,281.11434,-827.67329,-546.21513,564.14202,-482.59376,-436.84047,560.30384,-456.51024,-425.91642,521.38965,-403.79119,-566.73366,482.82179,-407.18646,-450.57691,469.69381,-396.24312,-535.67398,552.24986,-787.43997,-396.58602,545.87622,-792.26709,-545.08824,441.25744,-820.70635,-402.76638,442.08546,-823.15372,-605.63865,591.32277,-489.99550,-782.83487,522.56140,-563.69997,-617.94442,598.96717,-748.53141,-785.91822,518.72952,-671.28675,-732.35232,1014.56608,-597.14398,-665.91642,962.83263,-448.60412,-670.25080,967.63866,-767.25500,-611.12150,932.60349,-585.91181,-613.23660,932.34752,-629.75768,-674.00182,727.39157,-366.65286,-699.93557,626.25562,-449.97382,-696.49372,645.55159,-351.93358,-587.12774,677.79267,-359.84313,-479.61861,707.34017,-383.15224,-469.45818,662.83251,-386.18945,-655.83785,834.49971,-821.66429,-707.30954,619.11997,-773.62889,-720.94737,631.49925,-844.90970,-614.41397,664.60488,-865.56041,-499.97114,694.67701,-856.26325,-487.93402,658.80450,-858.11813,-631.91067,494.08317,-522.59158,-636.95312,503.91533,-722.57886,-629.28721,496.22041,-522.39132,-634.17997,490.14017,-693.11442,0.09000000,0.01270107,0.01718644,0.03350572,0.09000000,32.30711776,4.04749650,3.06346550,-0.61928852,0.58755076,-0.61770517,53.27280134,-11.26987482,5.63401062,89.68918053,1.56537150,8.97240316,1.06178066,-6.35687879,52.28413319,-0.51139950,-1.25196912,87.13646520,1.52081822,2.02015565,-6.20206874,-6.35687879,-45.35019332,-1.34324920,-3.37399348,2.51936780,-2.57834620,-13.17344182,113.91745851,89.93782883,1.74788740,-0.95773479,-15.98626488,112.83537842,89.42066366
