time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,total_squared_error,marker_error_RMS,marker_error_max
0.00000000,10.43473250,0.40941920,-2.58537256,-0.54499191,0.57506920,-0.60080802,78.22538744,-2.74466857,3.92093528,98.36137557,1.71672986,11.72639962,-0.04380748,77.60518444,-10.16049769,1.41189557,97.48144285,1.70137214,13.47364700,3.32059660,-17.68690906,-1.67460374,1.45252927,87.01499591,-3.52416060,73.70163964,109.95923295,113.26903988,87.09621815,-1.57401004,89.71108159,105.07219619,110.92366646,1,0.00000000,-196.37719,473.82138,-410.94132,-165.68396,357.25584,-423.95237,-261.55487,92.97030,-432.34937,-326.26482,58.76480,-474.78225,-150.40142,41.10620,-409.98501,-113.70754,61.21083,-464.83474,-195.98894,477.11739,-806.58899,-168.61366,323.91812,-799.73060,-255.70336,87.27336,-785.81720,-324.38564,53.83565,-746.45650,-137.42592,33.31501,-811.49572,-107.49783,55.76455,-757.45663,-189.87655,244.77628,-427.97401,-232.56082,367.99710,-389.52382,-263.65923,257.34967,-389.57255,-250.89538,345.12880,-824.37449,-268.17088,222.78182,-824.35909,-385.61093,537.73402,-400.28028,-278.68912,537.87321,-420.94146,-248.01619,487.26462,-385.25674,-380.17192,428.26072,-410.60033,-268.11658,433.50294,-407.97679,-401.58610,538.04379,-800.18684,-262.13841,535.56198,-793.80309,-402.93368,431.99571,-810.24602,-270.97251,429.78770,-810.11301,-531.07537,581.33045,-486.77824,-704.75541,587.12045,-558.15584,-516.73036,583.56859,-716.59748,-698.21326,584.75164,-665.16582,-677.98133,1026.03827,-609.13967,-616.39623,991.94929,-467.28199,-626.13305,995.90121,-750.14555,-558.79819,973.10188,-577.50030,-556.65909,974.06921,-630.91489,-413.43661,950.93944,-430.04083,-341.17304,868.13227,-408.42370,-336.81729,945.08902,-400.16030,-371.98741,941.77029,-489.20649,-387.08265,935.40489,-640.05637,-356.23390,959.45297,-637.48966,-516.53505,972.59299,-792.00529,-343.37972,864.09263,-798.61323,-333.05591,937.55095,-782.05893,-341.44759,928.57803,-701.18085,-389.38003,876.58775,-557.79115,-361.61286,899.45802,-550.30912,-577.40591,485.55605,-504.49391,-573.19625,483.67958,-704.58735,-584.74351,506.49739,-520.25870,-575.47147,503.14013,-671.92152,0.00000000,0.00442582,0.01014525,0.02075943
0.01000000,10.38409163,0.40087594,-2.59292278,-0.54505609,0.57512117,-0.60067314,78.25361686,-2.64001292,3.95749707,98.33333615,1.71624048,11.67799003,-0.18280729,77.66134539,-10.15917728,1.42642560,97.45273971,1.70087117,13.35182913,3.20820268,-17.82309483,-1.70627826,1.41496686,87.05878007,-3.51452053,73.64683649,109.90980501,113.62062323,87.15336205,-1.61032377,89.67986888,105.12013894,110.95706868,2,0.01000000,-196.38806,473.75136,-411.59968,-165.65615,357.18701,-424.43311,-261.63720,92.99737,-432.34527,-326.30434,58.68886,-474.80248,-150.46710,41.05981,-410.02167,-113.72333,61.15597,-464.82380,-195.99355,477.19615,-806.36728,-168.62010,324.01587,-799.52818,-255.67848,87.34549,-785.83444,-324.44635,53.84157,-746.39794,-137.41016,33.22656,-811.29231,-107.49715,55.80649,-757.43162,-189.90382,244.82123,-428.16383,-232.49575,368.02878,-389.70454,-263.57933,257.58966,-389.83059,-250.89461,345.25264,-824.30282,-268.14096,222.88808,-824.31511,-385.59465,537.80624,-400.54431,-278.74541,537.94702,-421.08148,-248.06005,487.35514,-385.54854,-380.14517,428.24479,-410.86148,-268.13335,433.58099,-408.23988,-401.54267,538.17256,-800.20136,-262.15757,535.58958,-793.52238,-402.98911,432.06570,-809.88735,-270.95841,429.91292,-810.03203,-531.14707,581.37812,-486.77834,-704.78049,587.19844,-558.05759,-516.74535,583.60423,-716.40612,-698.23302,584.82464,-664.99204,-676.76819,1026.31395,-609.23227,-615.31706,992.14948,-467.34374,-625.03469,995.85173,-749.91455,-557.59920,972.99051,-577.34462,-555.57359,973.93965,-631.12448,-412.54238,950.78647,-430.05374,-340.42475,867.65986,-408.85849,-335.82522,944.91032,-400.11669,-371.00395,941.55324,-489.16261,-386.11642,935.16604,-639.82435,-355.24025,959.08997,-637.53122,-515.48934,972.50451,-791.86530,-342.52196,863.62300,-798.28470,-332.10446,937.21455,-782.10080,-340.39197,928.34915,-701.41689,-388.47308,876.27696,-557.78717,-360.80811,899.16956,-550.50260,-577.45994,485.61078,-504.37448,-573.24724,483.72740,-704.46779,-584.79781,506.60946,-520.22768,-575.51930,503.24552,-671.76585,0.01000000,0.00441109,0.01012835,0.02076931
0.02000000,10.40006950,0.40498306,-2.61007369,-0.54512004,0.57530741,-0.60059911,78.21171125,-2.57391462,3.98875335,98.30380296,1.71572503,11.69871322,-0.17682998,77.61278775,-10.14766910,1.44897091,97.42300151,1.70035214,13.44755065,3.41953546,-18.05778949,-1.73853911,1.43678747,87.18965162,-3.53415135,73.68472260,109.95368688,113.42621162,87.28531037,-1.58944700,89.64312636,105.13998002,111.13120227,3,0.02000000,-196.43767,473.74521,-411.98116,-165.58887,357.21802,-424.74553,-261.59619,92.91654,-432.48045,-326.32278,58.63514,-474.78879,-150.45058,41.06483,-410.04051,-113.75831,61.15987,-464.80060,-196.04896,477.20530,-806.02128,-168.64299,324.10101,-799.27868,-255.67684,87.38586,-785.82967,-324.44390,53.83238,-746.33706,-137.40562,33.15619,-811.11596,-107.48436,55.83950,-757.35241,-189.91505,244.85401,-428.33723,-232.43749,368.08230,-389.91036,-263.44415,257.73359,-389.89796,-250.90549,345.32074,-824.04167,-268.15246,222.97002,-824.25167,-385.58290,537.82998,-400.65192,-278.85196,538.00140,-421.24119,-248.11464,487.35768,-385.93789,-380.15095,428.20366,-411.07707,-268.11632,433.57777,-408.56173,-401.51816,538.24161,-800.02387,-262.20248,535.63576,-793.25526,-403.02320,432.16965,-809.76975,-270.94314,430.04529,-809.93168,-531.30928,581.58343,-486.75936,-704.78202,587.28059,-557.99309,-516.77132,583.84010,-716.33913,-698.25164,584.92437,-664.89638,-675.44681,1026.53417,-609.25707,-614.08835,992.29213,-467.34538,-623.75689,995.89229,-749.83454,-556.27495,972.75451,-577.22740,-554.23935,973.71828,-631.32111,-411.45340,950.54651,-430.18202,-339.43722,867.29869,-408.74778,-334.67430,944.56347,-400.14976,-369.88438,941.24164,-489.23237,-385.03165,934.76785,-639.73362,-354.11553,958.64093,-637.82072,-514.29142,972.32634,-791.78853,-341.59429,863.05020,-798.12030,-331.01259,936.64473,-782.02994,-339.29844,927.92408,-701.52298,-387.51436,876.03018,-557.85910,-359.95949,898.83968,-550.68825,-577.45593,485.78190,-504.31755,-573.21230,483.92150,-704.41042,-584.80216,506.78776,-520.19559,-575.54664,503.44830,-671.70988,0.02000000,0.00442057,0.01013923,0.02076962
0.03000000,10.40673299,0.39975082,-2.60738846,-0.54520341,0.57548799,-0.60057497,78.17612577,-2.52925292,4.01139610,98.26205025,1.71499631,11.69001899,-0.24073850,77.58137964,-10.09573929,1.49531980,97.39544852,1.69987125,13.47894621,3.43180342,-18.31657324,-1.76002263,1.41932196,87.34651645,-3.52436066,73.71358065,109.93592798,113.38916962,87.38922447,-1.58600449,89.59864118,105.16360654,111.15889473,4,0.03000000,-196.49175,473.85746,-412.19615,-165.54214,357.33819,-424.90879,-261.52166,92.81497,-432.66182,-326.36662,58.71031,-474.57634,-150.41487,41.10430,-410.03880,-113.79291,61.21546,-464.82075,-196.15352,477.18257,-805.61079,-168.67147,324.15977,-799.01183,-255.68853,87.39379,-785.81359,-324.41532,53.82315,-746.31833,-137.40722,33.13002,-811.01970,-107.46528,55.86235,-757.21358,-189.94155,244.88518,-428.45593,-232.39157,368.17490,-390.14982,-263.28015,257.83040,-389.83027,-250.94437,345.33377,-823.64380,-268.19250,223.02394,-824.19610,-385.58710,537.83757,-400.64438,-278.94635,538.05023,-421.41479,-248.14374,487.34279,-386.29487,-380.17035,428.20228,-411.21560,-268.06931,433.52768,-409.01713,-401.53513,538.22844,-799.66791,-262.29679,535.71081,-792.97625,-403.04397,432.26189,-809.76987,-270.94731,430.16304,-809.84650,-531.47331,581.86303,-486.72897,-704.74339,587.35989,-557.95981,-516.78471,584.16115,-716.38821,-698.24773,585.02746,-664.88027,-673.91064,1026.70668,-609.21392,-612.61828,992.39154,-467.33428,-622.23247,996.03691,-749.95719,-554.80111,972.44998,-577.21464,-552.71181,973.48430,-631.42558,-410.14029,950.26634,-430.35042,-338.31812,866.90115,-408.56881,-333.37585,944.04656,-400.22587,-368.58213,940.81638,-489.27621,-383.79543,934.23925,-639.74198,-352.77129,958.11486,-638.17270,-512.88628,972.16578,-791.81708,-340.49487,862.35327,-798.06359,-329.76044,935.93591,-782.05096,-338.06512,927.28967,-701.59844,-386.53119,875.78609,-557.91316,-358.86887,898.35557,-550.75799,-577.39077,486.00692,-504.31586,-573.11322,484.17500,-704.40827,-584.74901,506.97804,-520.16331,-575.54036,503.67143,-671.74023,0.03000000,0.00442754,0.01014722,0.02071712
0.04000000,10.42987560,0.40996017,-2.59922296,-0.54523273,0.57571620,-0.60060834,78.13615744,-2.52147039,4.05216643,98.24863731,1.71476221,11.65549446,-0.19693386,77.52323717,-10.03391743,1.51611877,97.37632122,1.69953742,13.54750463,3.48628744,-18.60351261,-1.78277120,1.39739970,87.49577004,-3.53174385,73.69789640,109.90947134,113.58715238,87.48510465,-1.60545845,89.64520299,105.20929269,110.90478139,5,0.04000000,-196.53719,474.09311,-412.39322,-165.58522,357.51991,-425.02262,-261.52893,92.90110,-432.66295,-326.41221,58.88989,-474.29864,-150.42940,41.17773,-410.05967,-113.79079,61.27576,-464.92850,-196.29287,477.16946,-805.19585,-168.73220,324.19122,-798.75197,-255.69379,87.39082,-785.81195,-324.41876,53.82783,-746.36355,-137.40743,33.17401,-811.06026,-107.45638,55.87541,-757.10750,-189.96690,244.97872,-428.58357,-232.35741,368.32114,-390.33483,-263.17663,258.00273,-389.76621,-251.01880,345.34505,-823.33151,-268.22616,223.06426,-824.13508,-385.58891,537.85310,-400.63228,-278.92078,538.10264,-421.62123,-248.12964,487.40498,-386.45586,-380.18424,428.26587,-411.28236,-268.00237,433.51318,-409.54442,-401.60291,538.20575,-799.34581,-262.40320,535.83237,-792.70302,-403.08419,432.33356,-809.77669,-270.99080,430.24763,-809.80034,-531.49912,582.08724,-486.71681,-704.66781,587.44306,-557.97596,-516.76858,584.40462,-716.46848,-698.21231,585.12280,-664.89010,-672.13249,1026.86221,-609.18000,-610.92307,992.48851,-467.40605,-620.50539,996.18750,-750.18084,-553.15692,972.18409,-577.34793,-551.19284,973.40112,-631.43123,-408.68727,949.94670,-430.44320,-337.14559,866.33713,-408.72345,-331.97141,943.44476,-400.28962,-367.12353,940.30185,-489.25321,-382.42900,933.66107,-639.74341,-351.22831,957.53435,-638.25258,-511.27148,972.05981,-791.91182,-339.20676,861.58397,-798.04517,-328.34891,935.18071,-782.18982,-336.60977,926.59341,-701.81682,-385.42173,875.38656,-557.91555,-357.42910,897.69066,-550.77379,-577.28441,486.19337,-504.34342,-573.00813,484.37214,-704.43597,-584.64928,507.12990,-520.14586,-575.49299,503.83890,-671.78918,0.04000000,0.00442478,0.01014406,0.02082053
0.05000000,10.37033225,0.42389788,-2.57810463,-0.54525179,0.57580692,-0.60065392,78.20297768,-2.51737652,4.09384172,98.25310864,1.71484025,11.64270343,-0.16900399,77.55254300,-9.94931943,1.55456327,97.31568703,1.69847915,13.48951518,3.32108103,-18.83324350,-1.81990959,1.35549404,87.61574746,-3.52761664,73.64764030,109.92699930,113.62850179,87.64914636,-1.62224214,89.62756150,105.21559999,110.54993866,6,0.05000000,-196.60515,474.35431,-412.51929,-165.68523,357.75461,-425.12544,-261.59999,93.13094,-432.48314,-326.38075,58.96826,-474.34830,-150.45485,41.29496,-410.14444,-113.76815,61.31250,-465.07801,-196.47399,477.15135,-804.78262,-168.87536,324.25011,-798.52731,-255.69266,87.38102,-785.82886,-324.43914,53.82979,-746.43046,-137.41370,33.28364,-811.22488,-107.46109,55.86959,-757.12544,-189.92826,245.14887,-428.81655,-232.33017,368.50239,-390.41230,-263.19360,258.23706,-389.72400,-251.10574,345.38735,-823.21119,-268.24593,223.10637,-824.05576,-385.54206,537.85231,-400.61877,-278.78023,538.13222,-421.85786,-248.09001,487.47289,-386.49532,-380.19179,428.35274,-411.30716,-267.93030,433.53363,-409.97831,-401.72527,538.24870,-799.19335,-262.48539,535.99212,-792.49209,-403.18154,432.45851,-809.90516,-271.08906,430.30218,-809.74471,-531.43824,582.27346,-486.72718,-704.55951,587.54288,-558.03864,-516.73499,584.64840,-716.52923,-698.15588,585.25272,-664.86929,-670.17199,1027.10579,-609.31972,-609.07192,992.58775,-467.57164,-618.60296,996.27500,-750.34416,-551.28581,971.93858,-577.57586,-549.61472,973.41583,-631.51478,-407.12262,949.48547,-430.45910,-335.79634,865.65563,-408.84678,-330.40582,942.72775,-400.36013,-365.52477,939.67514,-489.32445,-380.88756,933.02656,-639.79194,-349.54891,956.84409,-638.08850,-509.48186,971.81928,-791.94567,-337.78832,860.73162,-798.08653,-326.71935,934.29404,-782.24440,-334.98306,925.86442,-702.02350,-384.00102,874.72477,-557.91688,-355.87661,897.01199,-550.93324,-577.15046,486.35680,-504.39721,-572.89815,484.58085,-704.49066,-584.51522,507.27746,-520.15485,-575.42322,504.02586,-671.83539,0.05000000,0.00444797,0.01017060,0.02089142
0.06000000,10.39667084,0.44499577,-2.53714040,-0.54528134,0.57604491,-0.60067016,78.16852839,-2.57836239,4.08048092,98.25104441,1.71480422,11.62407312,-0.07263363,77.49107044,-9.89790284,1.54229012,97.26924777,1.69766863,13.46788855,3.28047270,-19.19469542,-1.90521270,1.27401014,87.78047473,-3.52886121,73.65814778,109.87457012,113.55209374,87.88647831,-1.55611030,89.71632827,105.18219441,110.29180153,7,0.06000000,-196.66614,474.50747,-412.57738,-165.75604,357.96490,-425.24988,-261.66696,93.26058,-432.33794,-326.32022,58.87248,-474.68444,-150.45050,41.39156,-410.25119,-113.76545,61.32570,-465.21333,-196.69081,477.13957,-804.43076,-169.05677,324.38603,-798.39509,-255.69639,87.34575,-785.85066,-324.44163,53.80312,-746.48353,-137.43020,33.37923,-811.38571,-107.46987,55.83681,-757.22566,-189.84347,245.27050,-429.11414,-232.28996,368.64295,-390.50512,-263.23806,258.36261,-389.72211,-251.19735,345.40923,-823.12031,-268.26306,223.13469,-824.01535,-385.43339,537.83499,-400.54541,-278.62819,538.11432,-422.03823,-248.02986,487.41105,-386.60629,-380.18113,428.44060,-411.30973,-267.89833,433.52180,-410.26472,-401.89334,538.33005,-799.12181,-262.59329,536.13698,-792.35653,-403.30513,432.52739,-809.86773,-271.24267,430.34314,-809.62579,-531.43813,582.44082,-486.72314,-704.40648,587.65372,-558.06007,-516.69118,584.95397,-716.58160,-698.07812,585.43343,-664.80109,-668.03963,1027.46779,-609.67650,-607.06017,992.65689,-467.80059,-616.48462,996.33100,-750.41712,-549.18857,971.60547,-577.80486,-547.65718,973.23632,-631.79430,-405.39334,948.85202,-430.47866,-334.23869,864.86007,-408.70605,-328.63068,941.79295,-400.48824,-363.75276,938.87579,-489.51071,-379.08959,932.29990,-640.01257,-347.71454,955.99140,-638.04077,-507.55054,971.36226,-791.94089,-336.21896,859.72532,-798.19898,-324.84266,933.25459,-782.25000,-333.24840,924.90986,-701.94720,-382.33059,873.87473,-557.91839,-354.33767,896.32655,-551.15645,-577.01958,486.50819,-504.45767,-572.78586,484.84929,-704.55253,-584.37852,507.41490,-520.16344,-575.38306,504.25888,-671.89179,0.06000000,0.00447977,0.01020689,0.02081455
0.07000000,10.30027485,0.46166034,-2.52213905,-0.54521219,0.57606031,-0.60066569,78.24040093,-2.55149825,4.12148938,98.22011227,1.71426435,11.67454955,-0.20888464,77.57003537,-9.82100203,1.56660749,97.24272536,1.69720573,13.38984564,3.08183856,-19.44855551,-1.96367111,1.23115781,87.87036557,-3.51145414,73.58290653,109.90501600,113.74712712,88.01798369,-1.58682560,89.69543419,105.25043808,110.25024933,8,0.07000000,-196.64905,474.49237,-412.71633,-165.76794,358.05798,-425.44770,-261.66120,93.23597,-432.33160,-326.33152,58.73817,-474.87832,-150.43991,41.40496,-410.30771,-113.76289,61.30623,-465.33407,-196.89170,477.16385,-804.14505,-169.18292,324.53906,-798.33117,-255.70948,87.28310,-785.86536,-324.43626,53.73113,-746.53208,-137.44121,33.34585,-811.39564,-107.47766,55.78722,-757.30147,-189.79733,245.23023,-429.37492,-232.20356,368.65542,-390.72325,-263.10865,258.29178,-389.86222,-251.33398,345.35834,-822.88789,-268.29347,223.10703,-824.00105,-385.27425,537.79794,-400.43136,-278.52732,538.05335,-422.10480,-247.93995,487.23101,-386.81653,-380.14557,428.46579,-411.32102,-267.91235,433.43618,-410.47167,-402.06220,538.39687,-799.01196,-262.75029,536.22038,-792.26954,-403.35413,432.27696,-809.06410,-271.41573,430.39328,-809.45215,-531.43776,582.51065,-486.73410,-704.20097,587.78113,-557.97032,-516.62907,585.12245,-716.64604,-697.96952,585.61224,-664.70304,-665.63321,1027.70001,-609.98822,-604.81126,992.66817,-468.10172,-614.11567,996.35493,-750.48172,-546.89529,971.15769,-578.00113,-545.18110,972.71969,-632.17693,-403.44078,948.06549,-430.59453,-332.55898,863.79432,-408.70468,-326.65612,940.64343,-400.66660,-361.75925,937.89313,-489.68320,-377.06462,931.42765,-640.27535,-345.66180,954.98827,-638.33852,-505.39648,970.86108,-792.09202,-334.44451,858.57670,-798.38228,-322.76631,932.07897,-782.31325,-331.33397,923.63057,-701.73741,-380.62270,872.98685,-557.96285,-352.53017,895.40342,-551.16129,-576.91107,486.59137,-504.48571,-572.74182,485.02243,-704.58268,-584.25949,507.48770,-520.16312,-575.39824,504.40346,-671.93945,0.07000000,0.00449044,0.01021904,0.02091173
0.08000000,10.18610075,0.45533894,-2.45798786,-0.54508981,0.57597803,-0.60067755,78.33135188,-2.57000658,4.10025783,98.20703201,1.71403606,11.63442572,-0.35103420,77.68904501,-9.72462698,1.61341254,97.21295149,1.69668608,13.25885321,2.90866156,-19.71489606,-1.98824943,1.16235855,87.97048666,-3.47293880,73.51412525,109.91240570,113.51056855,88.19484726,-1.56439077,89.62882548,105.21680342,111.14507562,9,0.08000000,-196.56237,474.32849,-413.01105,-165.76782,358.04854,-425.67165,-261.57014,93.11539,-432.45021,-326.38486,58.64885,-474.81874,-150.43856,41.36379,-410.32250,-113.73026,61.24235,-465.41873,-197.02310,477.20566,-803.82903,-169.26488,324.61632,-798.23664,-255.72871,87.22202,-785.86759,-324.43513,53.61265,-746.58923,-137.43824,33.18104,-811.25710,-107.48471,55.73975,-757.30201,-189.81886,245.09606,-429.55616,-232.08551,368.53813,-390.97304,-262.78640,258.15849,-390.11706,-251.51466,345.30705,-822.63632,-268.35255,223.03470,-823.91370,-385.06835,537.70985,-400.38596,-278.49016,537.96508,-422.12303,-247.83050,487.04616,-387.00110,-380.08993,428.32325,-411.39495,-267.88778,433.27310,-410.66848,-402.19958,538.45352,-798.86007,-262.87225,536.25174,-792.15490,-403.34208,431.85273,-807.84202,-271.57774,430.44305,-809.21073,-531.23787,582.45450,-486.89334,-703.94675,587.96916,-557.80284,-516.53704,585.03722,-716.68310,-697.82434,585.78823,-664.55878,-662.88406,1027.72543,-610.14946,-602.27407,992.64707,-468.42288,-611.48474,996.33274,-750.59407,-544.38182,970.69985,-578.18330,-542.37650,972.05434,-632.55934,-401.22626,947.10055,-430.77408,-330.78202,862.37850,-409.10896,-324.47485,939.32264,-400.80638,-359.53121,936.76094,-489.77795,-374.89714,930.32899,-640.32284,-343.37332,953.87461,-638.78979,-502.91558,970.41165,-792.36910,-332.49011,857.33541,-798.61185,-320.51396,930.69578,-782.39557,-329.16157,922.20265,-701.72564,-378.88162,872.07003,-558.08631,-350.39682,894.24970,-551.00501,-576.77997,486.59792,-504.48983,-572.80972,485.01909,-704.59068,-584.12204,507.54281,-520.24135,-575.42200,504.44374,-671.94139,0.08000000,0.00447672,0.01020342,0.02106686
0.09000000,10.04052206,0.44710693,-2.38343048,-0.54489524,0.57593156,-0.60073991,78.43234013,-2.59870449,4.08717755,98.17375542,1.71345527,11.66487695,-0.39047133,77.83095250,-9.61116055,1.68594404,97.19383184,1.69635238,13.30996340,3.02767817,-19.97871820,-2.01376193,1.06683221,88.03189280,-3.47264995,73.41082552,109.96890084,113.57374955,88.35483130,-1.57191420,89.64390659,105.26252446,111.10341259,10,0.09000000,-196.49483,474.11476,-413.33593,-165.80251,358.02634,-425.79876,-261.48123,92.92346,-432.65507,-326.39927,58.59162,-474.72560,-150.43342,41.32323,-410.35037,-113.71190,61.17642,-465.42580,-197.10675,477.26497,-803.49426,-169.37015,324.62548,-798.07562,-255.75235,87.18900,-785.86219,-324.42529,53.48314,-746.65141,-137.43441,33.02313,-811.11099,-107.49014,55.70780,-757.22947,-189.86876,245.02279,-429.65506,-232.01045,368.40837,-391.11123,-262.51188,258.12428,-390.28891,-251.67434,345.33303,-822.50568,-268.42946,222.98833,-823.72375,-384.88227,537.63013,-400.43341,-278.53056,537.87115,-422.16997,-247.74810,486.91441,-387.09579,-380.01922,428.06273,-411.51851,-267.78832,433.05417,-410.89161,-402.32698,538.52976,-798.70075,-262.92326,536.28526,-791.87877,-403.41354,431.74671,-807.29238,-271.73246,430.44998,-808.83622,-530.84971,582.38888,-487.21295,-703.64607,588.26756,-557.62798,-516.40527,584.92071,-716.65424,-697.63806,586.06168,-664.34707,-659.84743,1027.91715,-610.46049,-599.44577,992.64228,-468.64713,-608.57918,996.34104,-750.82475,-541.58581,970.26769,-578.34479,-539.46576,971.46942,-632.88251,-398.75991,945.98594,-430.84630,-328.86898,860.80545,-409.43428,-322.06789,937.80155,-400.83769,-357.08332,935.48258,-489.81373,-372.54906,929.03439,-640.29307,-340.85579,952.68382,-639.03068,-500.16296,969.91419,-792.55936,-330.36509,855.95426,-798.80702,-318.03885,929.12132,-782.53817,-326.76997,920.77192,-701.92481,-376.94347,871.03034,-558.21834,-348.26141,893.04468,-551.02224,-576.58820,486.62642,-504.51173,-572.91757,485.02554,-704.61806,-583.93125,507.69601,-520.43876,-575.40404,504.56522,-671.90687,0.09000000,0.00446539,0.01019050,0.02104893
