Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,time,total_squared_error,marker_error_RMS,marker_error_max
1,0.00000000,-193.89218,443.24766,-422.71350,-149.49950,339.43788,-446.56025,-285.34756,92.93826,-464.47763,-337.49763,51.90815,-514.25801,-175.75020,41.32207,-432.68979,-140.45210,58.47325,-476.19113,-197.90863,448.96152,-816.39448,-148.18628,346.86402,-767.34192,-298.08238,95.02019,-789.85893,-346.38421,61.11831,-751.91162,-184.58390,36.52226,-808.51935,-146.01104,56.77578,-756.23962,-185.10884,233.72974,-460.97434,-204.72675,349.31391,-394.58209,-255.98707,249.06996,-416.03542,-198.22150,380.14069,-835.20892,-235.74304,264.14491,-843.68604,-479.64474,553.15653,-453.85301,-377.39520,554.98670,-441.73515,-353.49053,508.65680,-394.43023,-487.32730,453.49002,-401.52698,-371.87015,454.12126,-392.93091,-475.80288,539.77654,-806.05284,-342.24787,545.79725,-808.27905,-485.18458,431.70096,-838.86671,-344.29004,440.04998,-838.28778,-517.08185,595.00153,-501.85795,-704.87000,572.35610,-569.51195,-520.50482,585.84234,-749.80469,-710.82452,568.70407,-682.15655,-642.63914,1042.95349,-621.03616,-593.17214,1011.06415,-468.34119,-581.38393,1020.57575,-776.95073,-521.40634,987.95337,-601.94890,-519.90043,985.09247,-643.47185,-597.08274,887.20020,-398.41249,-700.50397,695.83596,-443.37960,-663.66748,710.63482,-368.84674,-545.44340,717.79904,-395.86910,-456.66931,736.96311,-440.57947,-446.45211,703.79606,-425.82834,-583.13381,873.63923,-847.25499,-674.29552,695.51952,-800.61061,-656.28771,698.58338,-878.33124,-551.01939,703.14854,-856.29326,-443.23381,727.16924,-795.18671,-436.73758,695.37357,-800.24200,-579.34115,496.84396,-525.07155,-576.74082,488.32832,-714.23990,-559.78078,502.48107,-531.45623,-568.42134,497.18162,-694.91429,0.00000000,17.26454095,-2.11290631,1.18629600,-0.54933884,0.58598554,-0.62463586,65.88635638,-4.75167790,-0.55569589,98.88745533,1.72591168,17.95596695,-9.17651788,-5.44226150,68.04831846,-4.01665727,6.37134790,100.57088436,1.75529306,16.21454423,-2.42282734,-5.44226150,-31.57048942,2.67932174,-2.99547651,-5.04539818,-7.78598788,1.72706310,121.99796685,101.49781314,-7.04277847,-5.78172696,1.10738569,121.67160908,94.64741433,0.00000000,0.00538010,0.01118564,0.02074377
2,0.01000000,-193.88966,443.26870,-422.70497,-149.48553,339.46415,-446.60816,-285.30289,93.01296,-464.42298,-337.42113,51.97506,-513.95261,-175.72358,41.32308,-432.71237,-140.45784,58.46655,-476.26787,-197.95894,448.84708,-816.42990,-148.17212,346.84069,-767.45238,-298.10809,95.02768,-790.04005,-346.36281,61.25063,-751.93641,-184.59211,36.48268,-808.54602,-145.99402,56.70785,-756.26004,-185.11395,233.68923,-460.99386,-204.73006,349.30342,-394.64941,-256.01580,249.06676,-416.19498,-198.23143,380.09561,-835.23596,-235.73331,264.11874,-843.68646,-479.81438,553.11784,-453.83975,-377.38514,554.87615,-441.59086,-353.53931,508.64235,-394.41503,-487.29978,453.41063,-401.60153,-371.88643,454.16234,-392.92439,-475.79589,539.68409,-806.04360,-342.25097,545.72819,-808.29062,-485.23306,431.61791,-838.90174,-344.30650,439.97820,-838.26917,-517.04909,594.98748,-501.94121,-704.85633,572.29195,-569.55704,-520.48319,585.71907,-749.79372,-710.85390,568.64938,-682.13916,-642.60670,1042.94930,-621.05749,-593.11307,1011.05336,-468.38250,-581.31356,1020.49618,-776.84203,-521.33053,987.91450,-601.98724,-519.84042,985.04857,-643.48641,-596.99326,887.19909,-398.42980,-700.50971,695.80963,-443.38480,-663.65865,710.72992,-368.79080,-545.40718,717.83310,-395.74094,-456.68422,736.90003,-440.53749,-446.47598,703.74905,-425.81228,-583.05263,873.62122,-847.25811,-674.22226,695.62128,-800.73198,-656.24299,698.57484,-878.47008,-550.99900,703.11898,-856.31029,-443.20862,727.07547,-795.20345,-436.72655,695.32261,-800.26255,-579.32807,496.81402,-525.06941,-576.74593,488.22965,-714.23490,-559.70079,502.41760,-531.51230,-568.40536,497.13100,-694.90789,0.01000000,17.25992022,-2.13324934,1.19838593,-0.54932631,0.58598058,-0.62466504,65.87335966,-4.74810383,-0.53571192,98.88089770,1.72579723,18.17577470,-8.77733784,-6.23396118,68.05012479,-4.02925060,6.41395990,100.56962389,1.75527106,16.33580150,-2.15724450,-6.23396118,-31.57706278,2.70572812,-2.98828688,-5.05523341,-7.79965562,1.50630536,121.66476177,105.83286785,-7.03142239,-5.79083150,1.07690808,121.52469239,95.70143678,0.01000000,0.00537635,0.01118175,0.02088307
3,0.02000000,-193.89789,443.26779,-422.74646,-149.47255,339.45578,-446.63391,-285.34258,92.97528,-464.50583,-337.38131,51.94076,-513.86963,-175.71810,41.32669,-432.72746,-140.45892,58.46344,-476.31811,-197.96069,448.79235,-816.44977,-148.18661,346.80790,-767.52164,-298.11286,94.95530,-790.10641,-346.35644,61.23317,-751.91659,-184.60703,36.44350,-808.56796,-145.98894,56.67030,-756.27995,-185.09646,233.66127,-461.01573,-204.74436,349.31624,-394.65551,-255.99422,249.03198,-416.20652,-198.25985,380.03199,-835.23918,-235.73716,264.10356,-843.69323,-479.85913,553.12013,-453.85607,-377.35913,554.82677,-441.55797,-353.55705,508.64425,-394.41319,-487.29741,453.38945,-401.63113,-371.87207,454.15858,-392.91869,-475.82904,539.63131,-806.09360,-342.24372,545.67824,-808.29423,-485.26303,431.52971,-838.91427,-344.34385,439.92019,-838.26996,-517.02444,594.98136,-501.97903,-704.84326,572.23152,-569.61256,-520.48414,585.63611,-749.80640,-710.85952,568.63865,-682.18090,-642.53789,1042.93417,-621.00450,-593.03549,1011.01018,-468.44623,-581.18217,1020.44941,-776.77913,-521.27250,987.89220,-602.01884,-519.77200,984.99251,-643.46353,-596.93775,887.21358,-398.42091,-700.50957,695.80728,-443.38209,-663.64780,710.75318,-368.76094,-545.40485,717.82810,-395.72724,-456.66203,736.82782,-440.53908,-446.45821,703.70327,-425.75392,-582.99374,873.59110,-847.24694,-674.19890,695.65612,-800.78166,-656.25049,698.51022,-878.40952,-550.98488,703.09212,-856.30727,-443.16696,727.01612,-795.20543,-436.72166,695.26139,-800.28814,-579.32648,496.78898,-525.09180,-576.74255,488.17247,-714.25582,-559.63507,502.31753,-531.57773,-568.36710,497.10285,-694.95970,0.02000000,17.25572553,-2.14706761,1.20079989,-0.54931150,0.58592386,-0.62467046,65.88083686,-4.73988098,-0.55389980,98.88812677,1.72592340,18.18134329,-8.80215643,-6.39217889,68.05097622,-4.03807508,6.44583641,100.56649209,1.75521640,16.49457442,-1.92347578,-6.39217889,-31.57804652,2.72565689,-2.99943380,-5.04867620,-7.79422934,1.52252040,121.68815615,105.52293961,-7.05343951,-5.78277839,1.06717905,121.54140526,95.61326255,0.02000000,0.00538340,0.01118907,0.02085792
4,0.03000000,-193.91445,443.25237,-422.79258,-149.44812,339.43257,-446.65060,-285.39612,92.94177,-464.59889,-337.38764,51.86536,-513.94172,-175.74258,41.32733,-432.72418,-140.45653,58.46291,-476.34080,-197.93857,448.75582,-816.45517,-148.19633,346.76593,-767.53046,-298.10290,94.89174,-790.12741,-346.36469,61.18815,-751.91541,-184.61980,36.40940,-808.58301,-145.99717,56.64541,-756.29929,-185.07172,233.65650,-461.04062,-204.73717,349.32511,-394.64745,-255.98215,248.95960,-416.14203,-198.27540,379.98812,-835.23818,-235.74131,264.08931,-843.69683,-479.82924,553.12247,-453.88904,-377.32053,554.84689,-441.61210,-353.54351,508.64956,-394.41536,-487.32448,453.41747,-401.59708,-371.85590,454.15376,-392.92360,-475.85923,539.59849,-806.14980,-342.23225,545.64414,-808.29697,-485.27687,431.46647,-838.91453,-344.39386,439.89567,-838.28285,-517.01454,594.98416,-501.98418,-704.83425,572.19170,-569.65160,-520.48725,585.58457,-749.82364,-710.85278,568.65655,-682.28087,-642.41911,1042.87206,-620.91903,-592.95377,1010.96450,-468.46443,-581.02142,1020.42324,-776.75697,-521.23665,987.90192,-602.06785,-519.70137,984.94746,-643.45776,-596.89927,887.24429,-398.37505,-700.50428,695.80658,-443.37768,-663.62670,710.75280,-368.73647,-545.41206,717.80935,-395.74877,-456.62450,736.75047,-440.56390,-446.42340,703.65391,-425.70963,-582.93793,873.58300,-847.25588,-674.17203,695.63844,-800.80437,-656.21289,698.48350,-878.41438,-550.96012,703.07580,-856.30999,-443.13178,726.98832,-795.20470,-436.70327,695.22329,-800.30240,-579.34092,496.77550,-525.12192,-576.73214,488.14600,-714.28500,-559.59240,502.22019,-531.63247,-568.32366,497.09165,-695.02670,0.03000000,17.25546918,-2.15531111,1.20070988,-0.54930525,0.58591202,-0.62471644,65.87082960,-4.73042345,-0.55605233,98.87434091,1.72568279,18.19154569,-8.83135675,-6.52632811,68.05942650,-4.03818131,6.44476167,100.58278343,1.75550074,16.43026776,-2.02712082,-6.52632811,-31.58991023,2.74005702,-2.99608462,-5.05407969,-7.80200772,1.53431966,121.68646014,105.48677595,-7.05374901,-5.76629428,1.04831508,121.48438706,96.05267666,0.03000000,0.00537978,0.01118531,0.02084227
5,0.04000000,-193.92708,443.23661,-422.79281,-149.43374,339.43122,-446.65364,-285.37430,92.99984,-464.55352,-337.41567,51.81739,-514.00002,-175.76357,41.33101,-432.70795,-140.45671,58.45841,-476.34404,-197.93388,448.72410,-816.45812,-148.17384,346.72982,-767.49536,-298.09674,94.91286,-790.15400,-346.36816,61.22056,-751.95122,-184.61948,36.39135,-808.59119,-146.00144,56.61970,-756.31069,-185.04915,233.65364,-461.06185,-204.71436,349.31111,-394.64797,-256.03707,248.87956,-416.13656,-198.25781,379.98833,-835.26108,-235.73625,264.06692,-843.67978,-479.80143,553.08901,-453.93091,-377.31964,554.87378,-441.65693,-353.53228,508.65096,-394.41314,-487.35486,453.45845,-401.54134,-371.86265,454.16434,-392.93968,-475.85065,539.57005,-806.15889,-342.23038,545.63725,-808.30580,-485.27975,431.44612,-838.91756,-344.41898,439.90379,-838.28875,-517.02244,594.96778,-501.97329,-704.82658,572.16766,-569.66415,-520.47745,585.55363,-749.82644,-710.85623,568.65161,-682.35710,-642.28546,1042.79412,-620.87464,-592.87593,1010.93575,-468.40620,-580.86568,1020.41886,-776.77602,-521.19135,987.91498,-602.08999,-519.64288,984.94256,-643.48961,-596.85156,887.25273,-398.30923,-700.50466,695.78839,-443.37876,-663.60155,710.77127,-368.71005,-545.40382,717.79541,-395.71333,-456.61397,736.67305,-440.55167,-446.40011,703.58558,-425.71791,-582.85215,873.61383,-847.31270,-674.05268,695.60647,-800.89108,-655.94361,698.70765,-879.03063,-550.90431,703.09272,-856.37894,-443.11151,726.97853,-795.21337,-436.66056,695.22892,-800.29426,-579.35892,496.75492,-525.13676,-576.72217,488.12477,-714.29942,-559.57316,502.16955,-531.63783,-568.31610,497.07131,-695.04163,0.04000000,17.24086669,-2.15140406,1.19703181,-0.54931615,0.58588058,-0.62474384,65.89081127,-4.73227446,-0.55112322,98.87630417,1.72571706,18.23826027,-8.84685651,-6.62847260,68.07038225,-4.03300318,6.42994803,100.56448210,1.75518132,16.31098430,-2.24706067,-6.62847260,-31.60007339,2.73979341,-3.01286429,-5.06226021,-7.82564712,1.67372859,121.93546097,102.94492331,-7.04663196,-5.84801784,1.18615854,121.73797536,94.49366298,0.04000000,0.00540173,0.01120811,0.02080833
6,0.05000000,-193.92228,443.22739,-422.77606,-149.45216,339.43074,-446.62449,-285.31607,93.04852,-464.44835,-337.42082,51.81134,-514.00545,-175.75584,41.33842,-432.69672,-140.45715,58.44785,-476.32775,-197.94002,448.75008,-816.45839,-148.14819,346.73233,-767.46607,-298.09482,94.95248,-790.11539,-346.35942,61.23334,-751.94731,-184.61060,36.40415,-808.58912,-145.99305,56.61798,-756.30692,-185.02390,233.63189,-461.06833,-204.71963,349.29454,-394.63263,-256.01005,248.85343,-416.14873,-198.23658,380.00250,-835.28904,-235.73816,264.05910,-843.68805,-479.78906,553.05509,-453.97283,-377.37575,554.86932,-441.64909,-353.54596,508.64809,-394.40501,-487.35364,453.48596,-401.53110,-371.87252,454.14460,-392.94952,-475.83351,539.57250,-806.14379,-342.24159,545.66995,-808.31134,-485.26493,431.45270,-838.91515,-344.39414,439.93788,-838.28473,-517.03359,594.93854,-501.96544,-704.81745,572.14058,-569.67085,-520.46951,585.56074,-749.82047,-710.85750,568.60323,-682.34810,-642.17671,1042.77499,-620.85144,-592.79013,1010.90290,-468.33249,-580.69808,1020.46394,-776.82250,-521.09548,987.88177,-602.03249,-519.56423,984.94298,-643.49005,-596.79607,887.20369,-398.25737,-700.51015,695.77034,-443.38167,-663.59475,710.76797,-368.67695,-545.39841,717.75547,-395.68527,-456.62914,736.60500,-440.47687,-446.38387,703.49233,-425.74178,-582.74940,873.64843,-847.37323,-673.88155,695.57812,-801.02442,-655.51758,699.13315,-880.06904,-550.82667,703.15405,-856.49588,-443.07300,726.98093,-795.20578,-436.60803,695.25955,-800.27832,-579.34885,496.72652,-525.13906,-576.70496,488.11345,-714.30240,-559.57118,502.17995,-531.60959,-568.33032,497.05013,-695.01166,0.05000000,17.21979004,-2.14943813,1.19362681,-0.54930230,0.58584662,-0.62470333,65.91404989,-4.76326225,-0.60453212,98.86630335,1.72554251,18.26289332,-8.85997061,-6.68735367,68.10520731,-4.05583278,6.39747490,100.56331511,1.75516096,16.26912582,-2.33324068,-6.68735367,-31.60856063,2.71058547,-3.02444069,-5.05709355,-7.83951221,1.75341902,122.09046177,101.68675523,-7.06636598,-5.98931214,1.30083883,121.90514871,93.64282747,0.05000000,0.00539902,0.01120529,0.02066637
7,0.06000000,-193.90172,443.21795,-422.79194,-149.46545,339.40244,-446.59284,-285.30230,93.02278,-464.42736,-337.40128,51.84072,-514.01715,-175.74965,41.32109,-432.69459,-140.45347,58.44324,-476.29480,-197.93892,448.80995,-816.44345,-148.15170,346.79001,-767.47189,-298.08463,94.95503,-790.00280,-346.35769,61.16897,-751.89833,-184.60345,36.44642,-808.57444,-145.98978,56.65546,-756.29320,-185.01989,233.61161,-461.05054,-204.73999,349.28663,-394.62166,-255.78714,248.91436,-416.10200,-198.23335,380.01394,-835.29122,-235.75349,264.08968,-843.77065,-479.80905,553.07578,-454.00444,-377.42112,554.87270,-441.60677,-353.56544,508.63987,-394.39440,-487.32790,453.47624,-401.56975,-371.86834,454.11196,-392.93942,-475.83221,539.62056,-806.13119,-342.25339,545.71333,-808.30195,-485.23751,431.47363,-838.89747,-344.34607,439.99084,-838.27999,-517.03443,594.93822,-501.98119,-704.81482,572.12477,-569.67440,-520.46851,585.59994,-749.80743,-710.83883,568.55440,-682.31031,-642.07921,1042.80725,-620.78854,-592.69106,1010.85973,-468.27847,-580.52408,1020.55056,-776.83159,-520.95769,987.81636,-601.97012,-519.37901,984.88490,-643.46407,-596.73711,887.11663,-398.24260,-700.50541,695.77015,-443.38064,-663.60607,710.72246,-368.61944,-545.41802,717.67558,-395.73650,-456.63787,736.55524,-440.37979,-446.37354,703.39607,-425.74218,-582.66606,873.67394,-847.39889,-673.77826,695.56226,-801.11268,-655.24821,699.42028,-880.66511,-550.75557,703.22261,-856.55212,-443.00146,726.98056,-795.15036,-436.56164,695.30151,-800.27157,-579.31565,496.72229,-525.13872,-576.67747,488.12374,-714.30280,-559.58542,502.23814,-531.59935,-568.32341,497.05922,-694.98097,0.06000000,17.21254849,-2.14549471,1.20485700,-0.54928004,0.58584141,-0.62475914,65.91955803,-4.75688621,-0.55665297,98.87593878,1.72571068,18.27269331,-8.81515407,-6.73321398,68.11746520,-4.03844288,6.37492323,100.56540000,1.75519734,16.25096784,-2.36143014,-6.73321398,-31.61403565,2.77166489,-3.04582505,-5.05793691,-7.84748839,1.82351410,122.16357417,100.40814421,-7.05208686,-6.06165949,1.37919388,121.99283363,92.94481917,0.06000000,0.00540674,0.01121330,0.02075329
8,0.07000000,-193.88196,443.19587,-422.84163,-149.43462,339.39412,-446.60900,-285.32383,92.99224,-464.47095,-337.40739,51.82684,-514.05780,-175.76259,41.27957,-432.69322,-140.45065,58.45772,-476.25843,-197.93899,448.84966,-816.43114,-148.17334,346.86259,-767.48422,-298.06967,94.95769,-789.91085,-346.37074,61.10911,-751.88193,-184.59661,36.49037,-808.55429,-146.00028,56.70896,-756.27767,-185.05280,233.61313,-461.00666,-204.73656,349.27731,-394.62267,-255.64089,249.00630,-416.08738,-198.23795,380.03555,-835.27698,-235.76027,264.13282,-843.83320,-479.80651,553.16277,-454.01585,-377.40592,554.89857,-441.55979,-353.55897,508.63911,-394.40795,-487.31789,453.44171,-401.59233,-371.86091,454.12563,-392.91989,-475.83700,539.68767,-806.11987,-342.25402,545.73804,-808.28369,-485.22353,431.50705,-838.87388,-344.32003,440.03201,-838.27632,-517.03642,594.95205,-501.99279,-704.82773,572.14743,-569.66513,-520.47263,585.64824,-749.79242,-710.82971,568.54921,-682.29669,-641.96279,1042.83353,-620.68659,-592.58172,1010.82727,-468.21934,-580.37698,1020.63554,-776.80266,-520.82317,987.76978,-601.96066,-519.09172,984.79174,-643.49015,-596.66069,887.03224,-398.25848,-700.49462,695.78585,-443.37604,-663.60578,710.67522,-368.56836,-545.44779,717.60156,-395.78628,-456.61790,736.49778,-440.32372,-446.37355,703.30717,-425.70325,-582.59207,873.71504,-847.41659,-673.75843,695.56444,-801.13219,-655.20528,699.47052,-880.64656,-550.70295,703.25111,-856.51682,-442.92955,726.97457,-795.07396,-436.52730,695.34499,-800.26884,-579.30624,496.73965,-525.13825,-576.67032,488.15390,-714.30294,-559.62159,502.30727,-531.59254,-568.32702,497.08834,-694.95623,0.07000000,17.23382885,-2.14413105,1.17036476,-0.54928485,0.58589867,-0.62470234,65.90277078,-4.70522670,-0.52411043,98.87070494,1.72561933,18.17924389,-8.81991284,-6.77519984,68.08506411,-4.06044868,6.40316701,100.58676914,1.75557031,16.39261309,-2.10143519,-6.77519984,-31.63487459,2.74710307,-2.99244848,-5.03314161,-7.83913894,1.51726466,121.69608425,105.59710377,-7.00930963,-6.03956861,1.26391714,121.47793901,96.51792891,0.07000000,0.00534031,0.01114420,0.02083317
9,0.08000000,-193.86765,443.18208,-422.88706,-149.39428,339.43944,-446.65940,-285.31413,93.01154,-464.45689,-337.43897,51.73838,-514.05380,-175.76731,41.26882,-432.68944,-140.44957,58.48503,-476.23155,-197.95437,448.91711,-816.47271,-148.18478,346.90074,-767.47328,-298.06822,95.00003,-789.90915,-346.37794,61.14098,-751.91069,-184.58935,36.51232,-808.53919,-146.00637,56.74732,-756.26221,-185.08226,233.62541,-460.96177,-204.70961,349.27149,-394.63255,-255.80447,249.06412,-416.16701,-198.24488,380.06114,-835.26754,-235.74694,264.15272,-843.77844,-479.71670,553.24634,-453.96473,-377.37303,554.91013,-441.55153,-353.51759,508.64154,-394.45524,-487.32460,453.43472,-401.56505,-371.86647,454.17056,-392.91248,-475.83940,539.73390,-806.10145,-342.25525,545.75819,-808.27526,-485.23815,431.53754,-838.86058,-344.31888,440.03867,-838.27109,-517.04606,594.95231,-501.98219,-704.85383,572.20244,-569.64800,-520.49133,585.70828,-749.79447,-710.85791,568.57360,-682.24616,-641.83887,1042.84181,-620.56826,-592.46480,1010.82230,-468.13550,-580.25001,1020.69300,-776.81683,-520.70443,987.74439,-601.91959,-518.85030,984.74512,-643.54222,-596.55704,886.96945,-398.26752,-700.49743,695.81682,-443.36584,-663.58519,710.65368,-368.56334,-545.44210,717.57577,-395.72663,-456.56726,736.39691,-440.33170,-446.37485,703.20602,-425.64280,-582.48437,873.76992,-847.43698,-673.75806,695.59094,-801.12217,-655.19200,699.49368,-880.58044,-550.65701,703.26719,-856.50055,-442.87958,726.98396,-795.03808,-436.49096,695.35177,-800.25975,-579.32109,496.75856,-525.13445,-576.70470,488.19940,-714.30061,-559.67170,502.37921,-531.55704,-568.38303,497.11409,-694.92589,0.08000000,17.25315791,-2.14937243,1.18557594,-0.54929463,0.58596510,-0.62467775,65.86696836,-4.70784009,-0.53716793,98.86471688,1.72551482,18.18104556,-8.88793486,-6.89284676,68.05665382,-4.05872087,6.42385986,100.57763598,1.75541090,16.52351072,-1.92048147,-6.89284676,-31.67942915,2.76291491,-3.00210923,-5.05448001,-7.81720736,1.54007087,121.72250738,105.39489883,-7.01114283,-6.07864522,1.23986556,121.49375507,96.54454216,0.08000000,0.00535039,0.01115472,0.02086786
10,0.09000000,-193.85342,443.20054,-422.90451,-149.40218,339.47919,-446.68161,-285.27952,93.04582,-464.39020,-337.43842,51.71713,-513.95375,-175.75834,41.30675,-432.68163,-140.44663,58.50511,-476.22102,-197.98402,449.03734,-816.56360,-148.18303,346.91160,-767.45354,-298.08356,95.06480,-789.96878,-346.36644,61.25504,-751.91962,-184.59340,36.51751,-808.53284,-145.99662,56.76344,-756.24861,-185.08414,233.63752,-460.95844,-204.66185,349.29794,-394.70234,-256.01978,249.10892,-416.22295,-198.25152,380.08252,-835.26896,-235.73165,264.16207,-843.69475,-479.64104,553.24774,-453.88914,-377.37097,554.90875,-441.62113,-353.46783,508.63398,-394.48707,-487.32448,453.46637,-401.53629,-371.87972,454.20564,-392.91711,-475.83709,539.74235,-806.07412,-342.27315,545.79092,-808.28584,-485.26438,431.54662,-838.86137,-344.32838,440.01785,-838.26930,-517.05045,594.95829,-501.97829,-704.88282,572.27276,-569.62006,-520.51374,585.75362,-749.80956,-710.89281,568.61617,-682.14291,-641.73234,1042.84184,-620.43069,-592.32766,1010.82920,-468.02595,-580.10430,1020.72166,-776.85783,-520.57451,987.72045,-601.81549,-518.73277,984.75458,-643.53575,-596.44574,886.92317,-398.24499,-700.51241,695.87024,-443.34017,-663.56672,710.64311,-368.57521,-545.38555,717.55114,-395.60491,-456.51230,736.26896,-440.36929,-446.36642,703.09582,-425.60731,-582.32834,873.81628,-847.42681,-673.72805,695.60585,-801.13306,-655.11782,699.56781,-880.65949,-550.59725,703.33347,-856.57998,-442.82129,726.98902,-795.04319,-436.42650,695.29240,-800.25342,-579.33501,496.78757,-525.11739,-576.76213,488.24015,-714.28468,-559.72075,502.44543,-531.52779,-568.44701,497.13618,-694.90616,0.09000000,17.24957902,-2.14721484,1.19527455,-0.54929196,0.58600316,-0.62465575,65.87212356,-4.71644765,-0.53496809,98.87438744,1.72568361,18.15987963,-8.89087199,-6.97088233,68.06289153,-4.05819939,6.42720360,100.57622983,1.75538636,16.53077109,-1.83692476,-6.97088233,-31.69230583,2.76820858,-2.98905903,-5.07368342,-7.81159461,1.52892384,121.69363158,105.40296155,-6.99653958,-6.08205320,1.29109731,121.53014495,96.08470541,0.09000000,0.00536848,0.01117356,0.02088423
