time,total_squared_error,marker_error_RMS,marker_error_max,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.00000000,0.01538787,0.01891712,0.03661524,1,0.00000000,-183.32342,515.47404,-363.75434,-127.23455,396.11773,-385.58288,-289.26556,102.03612,-428.85095,-357.10662,70.41380,-480.25052,-161.12499,36.80964,-384.18714,-122.03623,60.26214,-456.26192,-173.18069,507.85597,-938.48798,-113.08436,406.44505,-920.21556,-285.74762,97.24748,-915.75848,-356.30527,72.88517,-876.78494,-149.20418,35.53867,-935.01642,-121.64622,59.66801,-864.98269,-152.77645,289.83335,-419.49284,-192.14291,396.30733,-341.93064,-209.34093,281.82411,-357.13162,-191.62459,426.48294,-964.36140,-201.20164,305.34892,-973.16498,-398.17206,613.34820,-467.12427,-289.70822,620.64178,-440.51973,-278.90142,599.75067,-377.55737,-415.45305,545.95753,-377.71115,-297.22778,549.26369,-358.30365,-413.02795,596.44715,-868.41442,-278.71317,608.53157,-893.66565,-418.28772,505.97742,-932.41510,-281.27143,512.71834,-952.84327,-527.00488,598.00480,-534.24348,-700.57020,595.40820,-615.18696,-497.60938,585.20795,-791.61543,-698.25404,595.68800,-711.85768,-568.11546,1102.70532,-656.55900,-517.87567,1012.46551,-468.78156,-487.99554,1028.30725,-823.38251,-458.75203,988.65063,-630.49533,-458.00082,984.97175,-670.70134,-529.61749,846.09845,-396.12730,-646.26001,641.53943,-420.23032,-594.12201,660.95420,-344.11783,-473.45783,718.55761,-442.60068,-389.20803,744.73535,-520.09930,-375.91705,703.05034,-523.56710,-485.05337,859.61854,-908.10211,-599.67742,651.86134,-928.30938,-527.80504,675.98976,-976.52625,-457.81426,734.59992,-840.54790,-378.06390,752.10724,-756.95148,-354.48650,713.31452,-768.30280,-576.30612,504.87389,-560.44431,-561.24828,485.97721,-772.46383,-567.89389,501.76059,-571.60510,-563.79379,502.25589,-742.73360,0.00000000,12.44072574,-2.74607545,-0.75187549,-0.51753914,0.59133041,-0.66475318,79.35617719,-16.93372523,-0.50751447,108.89231970,1.90052951,23.37294237,10.24490650,-4.88737951,82.65703238,-15.06765872,11.54125413,109.81813091,1.91668796,19.67205038,19.17778285,-4.88737951,-34.83754400,4.32322127,0.34100149,3.06942872,-12.86809771,24.60614060,127.04696594,104.41085539,8.19469145,-13.57171777,34.15531094,123.68982981,111.04894291
0.01000000,0.01531846,0.01887440,0.03644512,2,0.01000000,-183.29556,515.46970,-363.72970,-127.22471,396.09071,-385.60068,-289.28895,102.09485,-428.87011,-357.14188,70.43390,-480.27065,-161.08930,36.88136,-384.19710,-122.01356,60.31493,-456.29359,-173.15517,507.84158,-938.46757,-113.05661,406.44091,-920.13304,-285.74360,97.17925,-915.65493,-357.19433,70.58524,-871.51359,-149.20020,35.52944,-935.02169,-121.64943,59.63250,-864.96172,-152.75448,289.79476,-419.48356,-192.13770,396.36464,-341.91841,-209.41400,281.89901,-357.16310,-191.60635,426.47782,-964.35953,-201.20272,305.30203,-973.14529,-398.17072,613.34513,-467.13744,-289.72154,620.59303,-440.56762,-278.83866,599.79777,-377.55769,-415.41457,545.92461,-377.81252,-297.17301,549.27508,-358.29267,-413.02090,596.44293,-868.44774,-278.69369,608.55096,-893.58196,-418.26144,505.96360,-932.47303,-281.27945,512.69098,-952.83738,-527.02709,598.03404,-534.21879,-700.55990,595.43194,-615.17523,-497.59752,585.16612,-791.58329,-698.24519,595.68561,-711.85607,-568.05292,1102.72687,-656.59518,-517.89894,1012.46196,-468.74851,-487.98562,1028.30136,-823.42863,-458.71172,988.52384,-630.37073,-457.96962,984.96977,-670.63289,-529.62487,846.08928,-396.11640,-646.17292,641.66936,-420.24810,-594.10958,660.91379,-344.07961,-473.42961,718.58324,-442.60930,-389.21174,744.63676,-520.17964,-376.07016,703.09258,-523.79401,-485.05491,859.60677,-908.10014,-599.62672,651.86224,-928.23627,-527.78645,676.00130,-976.51028,-457.78629,734.60889,-840.59018,-378.07199,752.06025,-756.91095,-354.47144,713.33887,-768.23991,-576.32414,504.90062,-560.39979,-561.24334,485.94627,-772.41253,-567.90211,501.78388,-571.55151,-563.80498,502.23288,-742.68020,0.01000000,12.45037126,-2.75073918,-0.75436406,-0.51755657,0.59134485,-0.66470413,79.34892025,-16.92180714,-0.51557674,108.90271385,1.90071092,23.36698878,10.19380821,-5.20658466,82.62264454,-15.08749122,11.35578678,109.83898546,1.91705194,19.82474018,18.34070273,-5.20658466,-34.84989103,4.31735194,0.38656213,3.05275274,-12.94101735,24.71020379,127.14089677,102.79408668,8.25441369,-13.58434207,34.15475598,123.66702750,111.40602157
0.02000000,0.01530597,0.01886671,0.03669474,3,0.02000000,-183.26924,515.47179,-363.73376,-127.21765,396.04716,-385.61016,-289.27614,102.13497,-428.85923,-357.15314,70.42437,-480.27098,-161.08167,36.97402,-384.18964,-121.98600,60.33559,-456.30074,-173.14247,507.82820,-938.46731,-113.05773,406.42989,-920.13594,-285.74469,97.12916,-915.61027,-357.62223,69.49154,-869.05794,-149.20261,35.51185,-935.03027,-121.66432,59.61843,-864.98325,-152.74027,289.77879,-419.52749,-192.13086,396.39117,-341.94198,-209.42155,281.94702,-357.17114,-191.61288,426.43732,-964.30867,-201.19101,305.26421,-973.14821,-398.13496,613.38632,-467.14470,-289.73594,620.58435,-440.58352,-278.82569,599.80859,-377.54965,-415.39863,545.92593,-377.82757,-297.17787,549.27225,-358.32309,-413.01009,596.43653,-868.47445,-278.68318,608.54003,-893.59239,-418.24983,505.94806,-932.45593,-281.25515,512.63768,-952.80326,-526.99540,598.13539,-534.23194,-700.55903,595.43527,-615.16126,-497.61018,585.26050,-791.60117,-698.24064,595.68217,-711.85337,-568.01280,1102.75822,-656.61940,-517.87781,1012.46795,-468.65655,-487.98530,1028.29198,-823.43022,-458.67194,988.50091,-630.33159,-457.97155,984.95649,-670.61784,-529.62724,846.11061,-396.12460,-646.18078,641.65607,-420.24891,-594.12853,660.88321,-344.07109,-473.42541,718.56166,-442.56807,-389.20395,744.62571,-520.16064,-376.10447,703.08942,-523.84476,-485.05377,859.59134,-908.09799,-599.59793,651.84767,-928.20793,-527.77243,675.98765,-976.49225,-457.77627,734.60015,-840.56839,-378.05099,752.03217,-756.88620,-354.46709,713.33475,-768.20000,-576.25624,504.97382,-560.40021,-561.19743,486.00912,-772.41359,-567.85015,501.86028,-571.56165,-563.74699,502.29724,-742.69023,0.02000000,12.44634513,-2.79886477,-0.78078832,-0.51754688,0.59139161,-0.66456009,79.31893591,-16.86400103,-0.58236437,108.87294641,1.90019138,23.34467390,10.08025456,-5.60574680,82.63407873,-15.16131810,11.32126316,109.85091618,1.91726017,19.88225983,17.92007707,-5.60574680,-34.87480982,4.33081840,0.39911852,3.02831686,-12.92044782,24.80111560,127.13705937,102.63139471,8.20031224,-13.62529685,34.04282602,123.72443015,111.68626169
0.03000000,0.01529040,0.01885711,0.03655980,4,0.03000000,-183.23391,515.50986,-363.73689,-127.20224,396.01030,-385.62242,-289.25004,102.13168,-428.83768,-357.14542,70.39833,-480.26771,-161.10841,37.00081,-384.19076,-121.98378,60.29298,-456.30782,-173.13766,507.80658,-938.47440,-113.06769,406.41634,-920.15703,-285.75583,97.12714,-915.68007,-357.56630,69.63765,-869.50309,-149.21207,35.48370,-935.04523,-121.68370,59.59411,-865.01186,-152.71354,289.81003,-419.61305,-192.10014,396.38604,-342.00008,-209.42400,281.95006,-357.17999,-191.61658,426.40074,-964.28347,-201.18744,305.24337,-973.15992,-398.09852,613.43622,-467.16007,-289.74759,620.61040,-440.58173,-278.85696,599.78216,-377.54799,-415.40892,545.95878,-377.76661,-297.20213,549.27294,-358.37168,-412.99947,596.41443,-868.49496,-278.67267,608.49535,-893.62962,-418.24457,505.92497,-932.41927,-281.23117,512.59597,-952.77609,-526.94520,598.22773,-534.28344,-700.55794,595.41568,-615.15064,-497.65600,585.41035,-791.66651,-698.23806,595.67871,-711.84761,-568.00815,1102.77496,-656.60569,-517.86324,1012.46353,-468.59483,-487.98959,1028.27023,-823.38678,-458.66241,988.55436,-630.39530,-457.99619,984.93015,-670.66953,-529.62314,846.12527,-396.12937,-646.18905,641.44479,-420.30844,-594.16649,660.86350,-344.08702,-473.44510,718.51816,-442.51714,-389.20872,744.65274,-520.08635,-376.02580,703.08572,-523.72147,-485.05276,859.57551,-908.09701,-599.58568,651.81910,-928.22251,-527.75987,675.95782,-976.48707,-457.77003,734.58462,-840.53284,-378.03433,752.03075,-756.90103,-354.47436,713.30562,-768.16356,-576.15494,505.03481,-560.44859,-561.15790,486.11127,-772.47003,-567.78513,501.92834,-571.63440,-563.67956,502.39385,-742.76286,0.03000000,12.49003110,-2.80436141,-0.72933318,-0.51759763,0.59149399,-0.66479896,79.26108508,-16.93084562,-0.58943031,108.87607017,1.90024590,23.32852531,10.06364750,-5.95902602,82.58143854,-15.07613127,11.34079499,109.84170482,1.91709941,19.83608578,17.96025899,-5.95902602,-34.90976539,4.39306625,0.28303076,3.19068406,-12.97089882,24.86507701,127.10209737,102.34261161,8.16457090,-13.57101370,33.96784024,123.67526789,111.99483953
0.04000000,0.01531086,0.01886972,0.03676772,5,0.04000000,-183.18358,515.57488,-363.70672,-127.17494,396.00690,-385.65471,-289.24982,102.10516,-428.85046,-357.13416,70.39075,-480.29103,-161.13300,36.96106,-384.18202,-122.00358,60.22502,-456.32927,-173.13200,507.77076,-938.47146,-113.05808,406.40252,-920.12691,-285.76763,97.13951,-915.77780,-357.09962,70.80123,-872.32041,-149.22243,35.44921,-935.06382,-121.69745,59.56146,-865.03255,-152.68803,289.83307,-419.67292,-192.06974,396.34953,-342.06277,-209.41249,281.99122,-357.19637,-191.59603,426.40201,-964.33250,-201.20621,305.24305,-973.15011,-398.08636,613.45203,-467.16741,-289.72829,620.64038,-440.59308,-278.87728,599.77385,-377.57141,-415.40693,545.96918,-377.77199,-297.17337,549.31179,-358.37416,-412.99374,596.36513,-868.49979,-278.66406,608.45287,-893.61050,-418.23883,505.89625,-932.41516,-281.24121,512.58597,-952.78780,-526.93451,598.22300,-534.28328,-700.54403,595.38460,-615.15089,-497.64074,585.49118,-791.67005,-698.23309,595.67706,-711.84142,-568.03139,1102.74542,-656.57374,-517.89936,1012.44010,-468.61731,-487.98821,1028.24111,-823.35327,-458.69832,988.57433,-630.49046,-458.00450,984.90126,-670.67945,-529.62950,846.08468,-396.10896,-646.12301,641.19272,-420.42717,-594.18905,660.86952,-344.10305,-473.45775,718.51737,-442.50944,-389.23613,744.65008,-520.04891,-375.92333,703.11327,-523.56170,-485.05354,859.56526,-908.10359,-599.57554,651.79342,-928.23953,-527.74812,675.93178,-976.49235,-457.75558,734.57118,-840.52726,-378.02594,752.04369,-756.92800,-354.46616,713.27775,-768.14987,-576.11638,505.02363,-560.47486,-561.11676,486.16780,-772.50213,-567.73830,501.92301,-571.65787,-563.64827,502.44064,-742.78654,0.04000000,12.52525083,-2.78654422,-0.73589666,-0.51759235,0.59151670,-0.66478308,79.23601552,-16.92876246,-0.56959478,108.88969365,1.90048368,23.34148024,10.07538144,-6.05551140,82.54474140,-15.08083464,11.42720382,109.83018636,1.91689837,19.77224261,18.49298533,-6.05551140,-34.93548567,4.36959965,0.28491017,3.17562418,-12.95671859,24.83639809,127.16564401,101.64774825,8.17886339,-13.57576135,34.00264116,123.68081202,111.68862542
0.05000000,0.01533112,0.01888220,0.03681653,6,0.05000000,-183.12971,515.59618,-363.68054,-127.14191,396.02956,-385.70411,-289.26150,102.10715,-428.88228,-357.12775,70.40623,-480.34280,-161.12984,36.97387,-384.12325,-122.00763,60.20933,-456.33371,-173.12652,507.73284,-938.46328,-113.04479,406.38088,-920.09734,-285.76669,97.11602,-915.79368,-356.59790,72.04536,-875.30412,-149.22791,35.41693,-935.07879,-121.70835,59.55990,-865.07715,-152.68851,289.79146,-419.67513,-192.07858,396.30747,-342.11566,-209.34200,282.11801,-357.19526,-191.58207,426.39070,-964.36730,-201.21829,305.24531,-973.12975,-398.07383,613.44946,-467.14855,-289.67692,620.65727,-440.62994,-278.85720,599.81092,-377.61084,-415.36497,545.91964,-377.88600,-297.09712,549.38441,-358.34330,-412.98869,596.30747,-868.48381,-278.66768,608.44155,-893.57251,-418.23862,505.86954,-932.41720,-281.26123,512.57844,-952.81621,-526.95713,598.17093,-534.18561,-700.52220,595.34990,-615.16085,-497.50752,585.53747,-791.55941,-698.22976,595.67729,-711.84033,-568.05023,1102.69671,-656.56653,-517.93836,1012.42925,-468.64159,-487.98093,1028.22202,-823.35679,-458.74064,988.53604,-630.53684,-457.98752,984.88032,-670.59199,-529.66104,846.01133,-396.08484,-646.07302,641.10502,-420.48657,-594.19429,660.89440,-344.11031,-473.44216,718.56125,-442.52507,-389.25492,744.63287,-520.05080,-375.88305,703.10912,-523.50796,-485.04897,859.56061,-908.10647,-599.56147,651.77607,-928.20442,-527.74053,675.91149,-976.48361,-457.74060,734.55522,-840.52599,-377.98204,752.05310,-756.91949,-354.43305,713.26171,-768.16763,-576.13078,504.97796,-560.44176,-561.01510,486.20178,-772.46784,-567.66923,501.88290,-571.57588,-563.61146,502.46239,-742.70511,0.05000000,12.51019765,-2.77557102,-0.78315125,-0.51755373,0.59150195,-0.66465926,79.27404678,-16.87284297,-0.54571406,108.89261723,1.90053470,23.27785823,10.03488484,-6.39233928,82.55298591,-15.12754200,11.51000236,109.81389265,1.91661399,19.73605369,18.87907078,-6.39233928,-34.93517114,4.33809975,0.34993208,3.15044013,-12.92409173,24.68015772,126.97498008,104.47984404,8.19956626,-13.59087258,34.07571912,123.70606915,111.45515674
0.06000000,0.01537259,0.01890773,0.03700284,7,0.06000000,-183.08670,515.54289,-363.72135,-127.10529,396.05482,-385.75071,-289.24749,102.13917,-428.87553,-357.11591,70.42033,-480.39519,-161.12771,37.02615,-384.07788,-121.99748,60.24057,-456.31926,-173.12182,507.70878,-938.45984,-113.05415,406.35306,-920.12254,-285.76166,97.08332,-915.78145,-356.57252,72.10007,-875.48037,-149.23087,35.39251,-935.08771,-121.71401,59.56520,-865.11934,-152.68209,289.75677,-419.67805,-192.07620,396.31082,-342.15952,-209.33502,282.19644,-357.19249,-191.59464,426.33446,-964.33388,-201.20033,305.22531,-973.13239,-398.06666,613.44768,-467.14946,-289.63925,620.66342,-440.66831,-278.81484,599.84306,-377.62052,-415.31724,545.85272,-377.96883,-297.04432,549.42371,-358.37691,-412.98107,596.27409,-868.46538,-278.67253,608.44373,-893.56464,-418.24060,505.84920,-932.41072,-281.26198,512.56841,-952.83515,-526.97511,598.15162,-534.13418,-700.50544,595.31247,-615.17461,-497.42460,585.62528,-791.50169,-698.23174,595.67656,-711.84065,-568.05032,1102.67891,-656.58162,-517.93863,1012.44465,-468.62068,-487.97449,1028.21439,-823.36282,-458.74691,988.51346,-630.53043,-457.97011,984.86898,-670.51913,-529.69596,845.96973,-396.08391,-646.07362,641.11615,-420.48408,-594.21026,660.89369,-344.12011,-473.41031,718.57059,-442.52531,-389.24027,744.62614,-520.04478,-375.89452,703.04879,-523.54052,-485.03258,859.55546,-908.07538,-599.54239,651.75888,-928.11919,-527.73241,675.89199,-976.45941,-457.72658,734.54184,-840.51708,-377.91498,752.05599,-756.89316,-354.40636,713.24993,-768.15761,-576.11808,504.95498,-560.44230,-560.92929,486.26393,-772.47071,-567.59959,501.86714,-571.54456,-563.57442,502.51170,-742.67434,0.06000000,12.45296035,-2.66657797,-0.81026691,-0.51750231,0.59137153,-0.66458907,79.40386648,-16.86480469,-0.39835307,108.92267292,1.90105927,23.40863675,10.02687938,-6.63126066,82.56657514,-15.12774797,11.39759117,109.79237527,1.91623844,19.74627574,19.10445387,-6.63126066,-34.83227100,4.20254010,0.38359325,3.06042660,-12.91416977,24.65966116,127.09116361,102.84879474,8.26588861,-13.59432358,34.19696089,123.67469276,110.84640200
0.07000000,0.01542547,0.01894022,0.03719074,8,0.07000000,-183.07512,515.47430,-363.83232,-127.07500,396.06600,-385.77636,-289.21806,102.16436,-428.84748,-357.09397,70.41131,-480.42991,-161.14324,37.00529,-384.13455,-121.99366,60.25600,-456.32979,-173.11365,507.69973,-938.45798,-113.06814,406.33974,-920.15835,-285.76724,97.07978,-915.80702,-356.79587,71.52673,-874.15497,-149.23601,35.37404,-935.09329,-121.70131,59.52977,-865.10230,-152.64026,289.80399,-419.73546,-192.00349,396.34518,-342.18712,-209.46703,282.12695,-357.23290,-191.60820,426.29559,-964.28856,-201.18232,305.18837,-973.14485,-398.08469,613.44213,-467.19466,-289.64195,620.66439,-440.67739,-278.76807,599.83597,-377.57353,-415.30952,545.83151,-377.96607,-297.05411,549.37741,-358.47902,-412.97401,596.26938,-868.45746,-278.66638,608.43655,-893.56520,-418.23576,505.83975,-932.40643,-281.24668,512.56264,-952.83212,-526.97422,598.17026,-534.22123,-700.49714,595.27501,-615.18921,-497.50370,585.74105,-791.60259,-698.23129,595.67174,-711.83312,-568.04794,1102.68886,-656.59743,-517.93112,1012.44262,-468.60069,-487.96823,1028.20568,-823.35208,-458.71966,988.52699,-630.49996,-457.96203,984.86745,-670.51853,-529.70506,845.97746,-396.09544,-646.02621,641.00873,-420.55140,-594.24605,660.85055,-344.14716,-473.39150,718.49720,-442.52685,-389.21021,744.61228,-520.02083,-375.86574,703.01171,-523.50395,-485.01192,859.54747,-908.01441,-599.52031,651.74284,-928.05767,-527.71601,675.87740,-976.43927,-457.70845,734.53917,-840.51040,-377.86790,752.05865,-756.88028,-354.38873,713.24769,-768.12265,-576.05425,504.95879,-560.53118,-560.93781,486.34356,-772.57139,-567.57819,501.87831,-571.66367,-563.56598,502.58081,-742.79351,0.07000000,12.45829366,-2.62820545,-0.74364139,-0.51757722,0.59133351,-0.66475720,79.43639996,-16.95856043,-0.39428543,108.93226570,1.90122670,23.01847429,9.55271326,-6.68696645,82.56526613,-15.01182017,11.26234979,109.78358482,1.91608502,19.41395266,18.03033719,-6.68696645,-34.90641051,4.20400143,0.24047514,3.06647644,-12.86370528,24.68726539,127.35849135,101.26157737,8.15330918,-13.60395345,34.25408941,124.22686003,108.03652359
0.08000000,0.01530368,0.01886530,0.03704594,9,0.08000000,-183.11065,515.43585,-363.95316,-127.06259,396.06802,-385.78515,-289.20900,102.17633,-428.86287,-357.09134,70.37777,-480.45455,-161.13694,36.94961,-384.23862,-121.98223,60.26612,-456.36501,-173.10482,507.70161,-938.44570,-113.05420,406.35480,-920.13199,-285.77327,97.07327,-915.79257,-356.93425,71.15682,-873.28721,-149.23907,35.36320,-935.09442,-121.68062,59.49075,-865.05793,-152.60334,289.86941,-419.79484,-191.91928,396.34730,-342.20202,-209.56559,282.02084,-357.30577,-191.60941,426.30586,-964.25071,-201.19603,305.15735,-973.13532,-398.08905,613.44231,-467.22037,-289.67626,620.65769,-440.67643,-278.73558,599.81524,-377.52874,-415.33433,545.85266,-377.96030,-297.07829,549.29274,-358.52815,-412.96581,596.28210,-868.44879,-278.65760,608.43257,-893.55432,-418.22818,505.84408,-932.40004,-281.22556,512.54563,-952.79497,-526.96008,598.20747,-534.29089,-700.49345,595.24544,-615.20671,-497.55449,585.86905,-791.68399,-698.23369,595.67194,-711.83031,-568.02794,1102.70160,-656.59635,-517.93982,1012.38870,-468.59869,-487.95415,1028.19670,-823.33817,-458.68038,988.52076,-630.43601,-457.95340,984.88170,-670.52131,-529.69649,845.99668,-396.10095,-645.92305,640.79678,-420.69366,-594.27861,660.78443,-344.18991,-473.41690,718.38259,-442.56616,-389.19313,744.57488,-519.99587,-375.79107,703.02795,-523.39775,-484.99691,859.54794,-907.97000,-599.49558,651.73110,-928.03352,-527.69284,675.87521,-976.42320,-457.68787,734.54617,-840.50087,-377.83306,752.06214,-756.86147,-354.35074,713.26651,-768.12679,-575.98591,504.97813,-560.60760,-560.92371,486.43300,-772.65780,-567.53937,501.90508,-571.76274,-563.53711,502.66044,-742.89257,0.08000000,12.55741889,-2.74967592,-0.75096561,-0.51764224,0.59163481,-0.66479165,79.20943942,-16.90397364,-0.51833101,108.87457148,1.90021974,23.34333499,10.05355552,-6.83014966,82.46590327,-15.08062839,11.40174667,109.79386520,1.91626445,19.75659410,18.56345628,-6.83014966,-34.99828745,4.33759307,0.30722588,3.18021799,-12.89593208,24.64187900,127.06212950,103.63036390,8.22778302,-13.56199319,34.02257210,123.67458298,111.61534128
0.09000000,0.01526931,0.01884410,0.03715937,10,0.09000000,-183.15700,515.40357,-364.01961,-127.06034,396.08369,-385.81791,-289.22038,102.18571,-428.90899,-357.11349,70.34994,-480.47677,-161.08985,36.95998,-384.27130,-121.94754,60.32312,-456.37011,-173.10004,507.72435,-938.42901,-113.02372,406.38336,-920.04929,-285.76622,97.03385,-915.68686,-357.23746,70.37996,-871.47479,-149.23274,35.37046,-935.08678,-121.68351,59.50898,-865.06261,-152.61518,289.86055,-419.78651,-191.89619,396.31345,-342.22289,-209.50872,282.00843,-357.35903,-191.61653,426.31060,-964.19783,-201.21234,305.16290,-973.12484,-398.05550,613.45532,-467.19435,-289.71640,620.63696,-440.69048,-278.74308,599.80372,-377.55963,-415.34390,545.88152,-377.97659,-297.04863,549.26308,-358.48932,-412.95586,596.31148,-868.42938,-278.65174,608.44917,-893.54406,-418.22489,505.86081,-932.38730,-281.21162,512.53890,-952.74798,-526.94305,598.25126,-534.24010,-700.49642,595.22914,-615.22668,-497.45864,586.00808,-791.62874,-698.25178,595.68626,-711.84794,-567.96827,1102.71526,-656.55852,-517.95886,1012.30878,-468.59752,-487.93420,1028.20149,-823.32629,-458.64361,988.48517,-630.32963,-457.94169,984.91361,-670.49549,-529.69035,845.99638,-396.10494,-645.86630,640.67046,-420.78267,-594.29504,660.70184,-344.22944,-473.48271,718.28627,-442.63008,-389.18587,744.53318,-519.98150,-375.75089,703.03232,-523.36632,-484.98161,859.57121,-907.96124,-599.46689,651.72379,-927.98597,-527.66760,675.88754,-976.40071,-457.66441,734.56485,-840.48245,-377.80340,752.06438,-756.82585,-354.30154,713.30185,-768.14997,-575.94952,505.00628,-560.60915,-560.81458,486.53460,-772.66058,-567.44041,501.94122,-571.72913,-563.46488,502.75086,-742.85939,0.09000000,12.57643524,-2.71237989,-0.77869145,-0.51764342,0.59166328,-0.66470781,79.21641017,-16.87658351,-0.47369953,108.88808219,1.90045555,23.32348023,10.00583891,-6.91776926,82.41805057,-15.10919047,11.29131799,109.80813485,1.91651350,19.83587480,18.29321630,-6.91776926,-35.01980971,4.28459982,0.37724305,3.12423081,-12.88443157,24.59571126,127.09307744,103.21994867,8.30684396,-13.56684949,34.09896952,123.64631526,111.62290083
