time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,total_squared_error,marker_error_RMS,marker_error_max
0.00000000,15.40398715,0.11449027,1.67780115,-0.56372479,0.57605763,-0.61191944,75.15572321,-9.06155911,2.41184128,101.86489644,1.77787784,19.43284136,3.70488027,-4.25960401,78.96251935,-5.11903302,5.07417433,99.69759203,1.74005124,0.07093854,-7.76043537,-4.25960401,-24.22893043,0.88960996,0.25054479,-0.74072649,-3.65092816,-12.37004664,115.67882665,97.35726669,0.50021692,-1.70511211,-7.10519047,110.89992602,98.45200178,1,0.00000000,-231.58989,479.89732,-411.56470,-171.27792,396.28158,-423.13594,-295.12175,91.21444,-437.96891,-358.05212,57.42012,-481.60297,-169.54362,46.66375,-410.76615,-143.12637,75.55362,-467.63975,-238.39618,505.00736,-802.87023,-170.33531,432.05764,-789.62926,-263.77212,112.02098,-800.15698,-340.59188,76.44618,-752.99712,-163.91920,42.89129,-834.04456,-116.15047,63.41943,-777.00040,-195.76414,284.95340,-428.03469,-233.98311,404.97801,-381.05260,-263.01638,293.70730,-380.51678,-250.25454,453.19785,-829.14364,-264.28603,332.57256,-840.87568,-504.32955,541.18335,-421.37871,-395.67955,546.27248,-424.77288,-367.71171,495.07019,-385.95297,-498.61097,430.70532,-391.74249,-383.21620,440.58030,-400.58160,-482.59760,563.11655,-788.19612,-344.22712,582.55703,-775.35155,-469.27252,466.16910,-836.26654,-337.37360,481.55051,-814.60288,-539.47906,588.74496,-487.63671,-749.86692,569.55030,-566.53056,-555.99215,584.94457,-746.02547,-753.45986,568.77111,-655.98463,-712.86418,1040.12646,-604.90327,-633.74190,1007.17814,-439.15104,-629.63227,1007.61331,-761.16786,-585.30835,968.17729,-581.09645,-588.47857,972.22269,-625.52894,-602.76524,873.90569,-384.92757,-673.89606,673.43327,-432.93201,-678.62480,677.75633,-363.11424,-587.99358,703.11521,-353.22970,-437.98946,760.14040,-392.49464,-437.23393,711.26308,-385.54844,-610.51866,864.67386,-821.13088,-679.04378,672.68123,-765.04908,-672.41471,681.91383,-848.77102,-600.56470,703.74532,-854.14138,-444.64656,749.99199,-814.86871,-445.63315,700.98373,-828.01528,-601.19064,483.53850,-513.06872,-608.72117,482.35207,-702.47788,-594.89588,494.18526,-521.30002,-601.75444,492.69785,-692.05876,0.00000000,0.00496679,0.01074741,0.02371032
0.01000000,15.40910636,0.12652135,1.65653723,-0.56366940,0.57614463,-0.61191962,75.17965102,-9.05793107,2.41568399,101.88752854,1.77827284,19.26199406,3.56818124,-4.54449183,78.93548326,-5.12703480,5.06050590,99.70451914,1.74017214,0.09257651,-7.89179320,-4.54449183,-24.16970721,0.81140629,0.33498191,-0.78734692,-3.65270013,-12.56256666,115.37197294,99.59468319,0.52971264,-1.64965260,-7.20153356,110.52497532,100.89274681,2,0.01000000,-231.50472,480.47310,-411.30932,-171.30264,396.29592,-423.14566,-295.09701,91.25547,-437.92991,-358.08175,57.41177,-481.63140,-169.51201,46.64877,-410.77419,-143.13507,75.57681,-467.64595,-238.39934,505.02796,-802.86446,-170.33530,432.05908,-789.59704,-263.77594,112.04771,-800.15266,-340.71276,76.31286,-752.85022,-163.91947,42.92465,-834.03622,-116.38017,63.66962,-777.44241,-195.77143,284.98783,-428.06942,-233.95927,405.04327,-381.05257,-262.98821,293.67344,-380.59139,-250.26543,453.22034,-829.11960,-264.27454,332.61041,-840.87351,-503.55100,540.85996,-421.60488,-395.32638,546.51853,-425.20871,-367.75759,495.10006,-385.96224,-498.72297,430.65712,-391.74263,-383.25803,440.64622,-400.55761,-482.60536,563.10335,-788.29445,-344.24819,582.57582,-775.32893,-469.25474,466.16774,-836.27525,-337.37378,481.58034,-814.59153,-539.56356,588.84877,-487.66635,-749.90180,569.53884,-566.64035,-556.03408,585.00935,-745.91650,-753.47591,568.77577,-655.97710,-712.72292,1040.10241,-605.03880,-633.63476,1007.16608,-439.13369,-629.61858,1007.53542,-761.18275,-586.64411,969.98878,-583.25724,-588.36101,972.12649,-625.52590,-602.68556,873.91484,-384.93304,-673.81938,673.42472,-432.88242,-678.56789,677.78536,-363.10162,-587.96969,703.11223,-353.23750,-437.94539,760.11335,-392.51539,-437.13523,711.23971,-385.55383,-610.54869,864.58406,-821.05832,-679.03776,672.74045,-765.03681,-672.44763,681.87426,-848.81807,-600.62126,703.73733,-854.16290,-444.65165,750.00434,-814.98126,-445.68810,701.03037,-828.23516,-601.22323,483.60857,-513.05239,-608.69643,482.40375,-702.46369,-594.91314,494.26354,-521.33244,-601.74095,492.80579,-691.99986,0.01000000,0.00495589,0.01073561,0.02398306
0.02000000,15.43584357,0.13305128,1.65023469,-0.56372109,0.57623192,-0.61196668,75.15494174,-9.06420565,2.42104313,101.88508351,1.77823017,19.23334924,3.56980593,-5.12676230,78.89483584,-5.11821002,5.05387996,99.69800619,1.74005847,0.09332300,-7.94964242,-5.12676230,-24.19850215,0.79196213,0.39171400,-0.80046531,-3.66283949,-12.60604417,115.37682277,99.41156897,0.57817962,-1.64537583,-7.16738873,110.46066544,101.08751614,3,0.02000000,-231.52439,480.63838,-411.28648,-171.32664,396.31232,-423.15327,-295.08339,91.27364,-437.93052,-358.07800,57.45820,-481.66182,-169.46551,46.61096,-410.77912,-143.13761,75.60302,-467.65951,-238.39744,505.03585,-802.84489,-170.34622,432.03227,-789.54443,-263.76840,112.06399,-800.14620,-340.71926,76.32283,-752.84489,-163.91262,42.94119,-834.03465,-116.45445,63.74289,-777.57897,-195.81030,285.02304,-428.05664,-233.97678,405.05630,-381.07784,-262.83696,293.87855,-380.69997,-250.26703,453.23981,-829.11206,-264.26747,332.62482,-840.85833,-503.30675,540.73326,-421.64655,-395.28607,546.57601,-425.23205,-367.78630,495.11298,-385.95208,-498.77112,430.69042,-391.74219,-383.28465,440.68115,-400.55349,-482.60401,563.10148,-788.29281,-344.23830,582.56596,-775.31134,-469.24120,466.16326,-836.27731,-337.36850,481.59521,-814.58509,-539.64537,588.90221,-487.74991,-749.95979,569.52027,-566.81249,-556.09042,585.16205,-745.84108,-753.50442,568.76304,-656.00942,-712.67845,1040.13977,-604.82606,-633.51180,1007.15622,-439.11126,-629.60239,1007.48748,-761.20613,-587.10318,970.68737,-584.15284,-588.26433,972.09881,-625.62605,-602.62381,873.90790,-384.93147,-673.75871,673.44937,-432.85512,-678.50354,677.76028,-363.10433,-587.92600,703.13341,-353.23483,-437.88016,760.08856,-392.53382,-437.04164,711.19009,-385.61345,-610.59513,864.52305,-821.05621,-679.03367,672.67394,-765.05727,-672.48196,681.86768,-848.83329,-600.65895,703.72528,-854.18193,-444.68092,749.99817,-815.06494,-445.71684,701.03775,-828.34537,-601.25260,483.64065,-513.12931,-608.67324,482.50585,-702.54310,-594.97580,494.39130,-521.40883,-601.75378,492.94332,-691.97152,0.02000000,0.00498114,0.01076293,0.02406163
0.03000000,15.44550332,0.15971443,1.62757354,-0.56377050,0.57629169,-0.61200414,75.15694250,-9.05283973,2.47657373,101.87488336,1.77805214,19.25206067,3.63442099,-5.41233719,78.86993066,-5.11412550,5.02188011,99.68338673,1.73980331,-0.00124210,-8.01107841,-5.41233719,-24.23690427,0.77401778,0.44581964,-0.78002092,-3.67446256,-12.69097928,115.40903026,99.27145076,0.59905105,-1.64205598,-7.10361010,110.42328369,100.94837612,4,0.03000000,-231.54455,480.75853,-411.36920,-171.34687,396.33366,-423.16264,-295.05778,91.31411,-437.89632,-358.05477,57.50540,-481.67960,-169.42995,46.57788,-410.77862,-143.12876,75.63126,-467.67808,-238.38928,505.03367,-802.81645,-170.36180,431.98908,-789.45137,-263.75988,112.06836,-800.13812,-340.49894,76.76111,-753.29589,-163.90622,42.94168,-834.03550,-116.37094,63.68208,-777.45054,-195.85960,285.07018,-428.04481,-234.05370,405.07166,-381.08617,-262.76451,294.05874,-380.70338,-250.25246,453.22803,-829.06960,-264.26533,332.60739,-840.84472,-503.41571,540.73250,-421.63649,-395.39948,546.53733,-425.08451,-367.80776,495.09848,-385.95240,-498.74811,430.78182,-391.76983,-383.31083,440.68184,-400.57032,-482.59754,563.09830,-788.27247,-344.19559,582.53798,-775.25300,-469.23352,466.14853,-836.26974,-337.36044,481.59502,-814.57343,-539.75423,588.96714,-487.82536,-750.01304,569.49818,-566.93513,-556.16418,585.35114,-745.82704,-753.54421,568.72805,-656.06505,-712.65684,1040.22957,-604.38898,-633.34490,1007.14387,-439.06121,-629.58702,1007.46857,-761.24086,-586.72553,970.34143,-583.83312,-588.18601,972.11282,-625.76952,-602.53492,873.85618,-384.95524,-673.68758,673.42338,-432.83221,-678.43286,677.69471,-363.11223,-587.84144,703.12650,-353.22117,-437.78907,760.05082,-392.55939,-436.93925,711.15313,-385.67372,-610.63389,864.53278,-821.14303,-679.04557,672.65946,-765.08099,-672.50041,681.87644,-848.84000,-600.66900,703.70770,-854.19070,-444.70146,749.98859,-815.12149,-445.72585,701.01209,-828.36211,-601.26748,483.68062,-513.22390,-608.65350,482.62707,-702.63953,-595.03917,494.54176,-521.46366,-601.79413,493.06854,-691.96544,0.03000000,0.00498808,0.01077041,0.02408035
0.04000000,15.51923782,0.18979780,1.63739730,-0.56388588,0.57639681,-0.61208644,75.08285889,-9.09185894,2.51830763,101.86416947,1.77786515,19.38597913,3.90195720,-5.67432267,78.80654866,-5.06979271,5.01583534,99.69008977,1.73992030,-0.19173485,-8.00903180,-5.67432267,-24.38144587,0.78737808,0.45743829,-0.77308859,-3.70975344,-12.60878784,115.58937349,98.33166231,0.64757754,-1.65067633,-7.03940207,110.57144876,99.94760735,5,0.04000000,-231.56788,481.03018,-411.38811,-171.37287,396.35430,-423.17934,-295.05030,91.36198,-437.82587,-358.04102,57.49410,-481.67957,-169.43581,46.58580,-410.77795,-143.11170,75.64529,-467.69718,-238.37850,505.03044,-802.79597,-170.38212,431.95879,-789.33025,-263.75866,112.06588,-800.13418,-340.23746,77.29997,-753.86738,-163.90885,42.93394,-834.03420,-116.20881,63.55408,-777.18546,-195.88884,285.11382,-428.07606,-234.16092,405.12576,-381.06057,-262.91079,293.92062,-380.60411,-250.23443,453.18011,-828.96116,-264.25417,332.59331,-840.84712,-503.53879,540.79179,-421.70220,-395.43877,546.53232,-425.07545,-367.86169,495.07298,-385.99788,-498.73411,430.84132,-391.81868,-383.34164,440.67966,-400.58463,-482.59473,563.08786,-788.30154,-344.15766,582.51700,-775.15468,-469.22489,466.12517,-836.26505,-337.35348,481.58632,-814.55711,-539.89843,589.10130,-487.85260,-750.04823,569.47691,-566.95732,-556.26074,585.51396,-745.80074,-753.57666,568.68409,-656.10181,-712.53984,1040.29060,-604.09945,-633.12065,1007.10851,-439.03505,-629.56662,1007.43986,-761.26293,-586.06198,969.62474,-583.07108,-588.10492,972.10248,-625.87924,-602.40143,873.77102,-384.99723,-673.56533,673.25384,-432.77227,-678.35373,677.64883,-363.09628,-587.73668,703.08458,-353.20015,-437.67105,759.99156,-392.60797,-436.84337,711.17068,-385.64593,-610.64885,864.58743,-821.24279,-679.05194,672.79729,-765.07663,-672.48709,681.88231,-848.85414,-600.65807,703.70453,-854.19840,-444.67818,749.99594,-815.17931,-445.71705,700.98631,-828.36992,-601.27138,483.77078,-513.24399,-608.63149,482.73361,-702.66073,-595.08351,494.69744,-521.46422,-601.83063,493.18142,-691.92837,0.04000000,0.00497922,0.01076085,0.02396777
0.05000000,15.55194518,0.16296814,1.61888739,-0.56400688,0.57650392,-0.61200061,75.05104751,-9.05263242,2.46034265,101.86436096,1.77786849,19.14047463,3.54204384,-6.21251673,78.75252655,-5.10173273,5.03752088,99.63704824,1.73899455,-0.29102408,-8.07473907,-6.21251673,-24.47488328,0.82283872,0.51485068,-0.75278172,-3.69575818,-12.65941289,115.54853879,99.37756193,0.70188933,-1.64424360,-7.09374467,110.49420192,100.69517860,6,0.05000000,-231.71870,481.20366,-411.38659,-171.41202,396.36802,-423.20192,-295.10758,91.33575,-437.84293,-358.04678,57.46585,-481.68525,-169.46919,46.62123,-410.78578,-143.09842,75.63476,-467.71823,-238.37143,505.02734,-802.77629,-170.40814,431.95607,-789.23912,-263.75474,112.06389,-800.13710,-340.19810,77.35074,-753.92396,-163.91242,42.92041,-834.03618,-116.13663,63.46725,-777.04050,-195.90694,285.12977,-428.11163,-234.23682,405.16504,-381.05125,-263.09466,293.61823,-380.57344,-250.22158,453.14245,-828.83326,-264.22578,332.61206,-840.85599,-503.64381,540.90001,-421.75771,-395.42062,546.55015,-425.14754,-367.95730,495.08731,-386.04519,-498.77055,430.84665,-391.84817,-383.36428,440.69969,-400.58952,-482.58876,563.07434,-788.30951,-344.16060,582.51644,-775.09997,-469.20830,466.10235,-836.27073,-337.34333,481.57568,-814.55355,-540.05600,589.23249,-487.93555,-750.09987,569.44942,-566.97064,-556.36597,585.67363,-745.69764,-753.59602,568.64849,-656.11620,-712.35629,1040.29370,-604.05741,-632.85986,1007.04294,-439.08879,-629.52360,1007.35878,-761.23231,-585.50376,969.02730,-582.48477,-588.00468,972.06018,-625.96751,-602.26111,873.69401,-385.00372,-673.39664,673.00956,-432.67017,-678.25973,677.65577,-363.04892,-587.63736,703.07244,-353.15265,-437.52470,759.92078,-392.66512,-436.75773,711.19908,-385.53566,-610.66027,864.62246,-821.29017,-678.97317,672.84915,-765.06721,-672.44256,681.89076,-848.85606,-600.63676,703.74361,-854.23266,-444.61206,750.02451,-815.26506,-445.65834,701.00589,-828.44708,-601.28295,483.85846,-513.25181,-608.61748,482.83932,-702.66962,-595.16664,494.87062,-521.52869,-601.84718,493.34014,-691.87024,0.05000000,0.00495267,0.01073212,0.02382855
0.06000000,15.59005297,0.23588264,1.61090322,-0.56410103,0.57658231,-0.61211229,75.01683625,-9.11490196,2.57353202,101.87979849,1.77813792,19.67305642,4.36576377,-6.44173815,78.68030118,-5.05881049,4.92966599,99.61478982,1.73860607,-0.47478739,-8.48816147,-6.44173815,-24.56653086,0.76077908,0.52342784,-0.75481510,-3.73389631,-12.57972053,115.78114743,97.08295820,0.75108761,-1.67909722,-6.92539006,110.75489229,98.46262406,7,0.06000000,-231.91048,481.28534,-411.40835,-171.45427,396.37670,-423.23043,-295.15489,91.25957,-437.94950,-358.06607,57.47979,-481.71572,-169.48474,46.63601,-410.78957,-143.10038,75.61669,-467.73560,-238.37330,505.02480,-802.72839,-170.41620,431.97372,-789.21518,-263.73901,112.06734,-800.14813,-340.25170,77.18106,-753.74898,-163.90575,42.90302,-834.04557,-116.23626,63.54359,-777.22159,-195.93489,285.13570,-428.13806,-234.25981,405.16440,-381.07899,-263.09503,293.57592,-380.63633,-250.20521,453.15019,-828.74667,-264.20903,332.64139,-840.84961,-503.72924,540.95284,-421.75502,-395.47707,546.53240,-425.14242,-368.05140,495.15758,-386.03520,-498.81463,430.85389,-391.85335,-383.38421,440.72696,-400.60354,-482.57462,563.04525,-788.27894,-344.19417,582.52760,-775.09051,-469.18908,466.08015,-836.27034,-337.33191,481.56152,-814.54565,-540.24049,589.27824,-488.16083,-750.18764,569.42327,-567.02597,-556.44974,585.83680,-745.58948,-753.62114,568.62671,-656.13144,-712.19021,1040.29080,-604.08799,-632.58513,1006.96974,-439.14495,-629.45907,1007.24496,-761.16286,-585.15535,968.72971,-582.29039,-587.88604,972.00231,-626.03036,-602.09422,873.63507,-384.97789,-673.23338,672.86205,-432.56574,-678.14995,677.68611,-362.99340,-587.52249,703.10238,-353.05799,-437.35830,759.84731,-392.69758,-436.61266,711.13904,-385.44771,-610.67328,864.64502,-821.30732,-678.80301,672.71987,-765.17562,-672.34042,681.91609,-848.94728,-600.59191,703.83142,-854.32034,-444.50253,750.07656,-815.37759,-445.53136,701.10264,-828.62037,-601.32483,483.88916,-513.33348,-608.64382,482.94265,-702.75227,-595.32780,495.05333,-521.73827,-601.88313,493.53247,-691.85976,0.06000000,0.00497881,0.01076040,0.02380309
0.07000000,15.62046660,0.20469214,1.60472806,-0.56422405,0.57666189,-0.61209119,74.99296200,-9.07618673,2.49456066,101.85229607,1.77765792,19.14318376,3.58910941,-6.53983440,78.64561915,-5.07032691,5.00880214,99.61162621,1.73855085,-0.14340369,-8.01699525,-6.53983440,-24.64364333,0.78278525,0.56754021,-0.69505344,-3.74591318,-12.71493483,115.57245782,99.40767642,0.84200760,-1.71277103,-7.03643900,110.48603705,101.01902450,8,0.07000000,-231.98825,481.40554,-411.40873,-171.49672,396.37834,-423.26860,-295.09099,91.23688,-438.01761,-358.07763,57.51199,-481.75321,-169.47571,46.62670,-410.76350,-143.11322,75.60885,-467.74271,-238.38237,505.03149,-802.65884,-170.39501,431.99369,-789.21890,-263.71389,112.07626,-800.16962,-340.21512,77.25345,-753.83246,-163.89421,42.88769,-834.05551,-116.33279,63.67101,-777.46624,-195.96006,285.15011,-428.19909,-234.28088,405.16632,-381.09566,-262.89354,294.00968,-380.71300,-250.19198,453.18391,-828.72060,-264.23609,332.66252,-840.80851,-503.77747,540.92000,-421.74657,-395.63908,546.47930,-425.05428,-368.12150,495.22282,-386.00924,-498.85131,430.88278,-391.86903,-383.41923,440.74648,-400.61215,-482.57383,562.99944,-788.28862,-344.22291,582.52983,-775.03448,-469.17632,466.05504,-836.25649,-337.33671,481.53265,-814.48511,-540.48108,589.29304,-488.44236,-750.29565,569.42258,-567.11654,-556.55119,585.99070,-745.47712,-753.66316,568.61235,-656.14720,-712.01380,1040.28922,-604.06079,-632.29509,1006.91414,-439.10703,-629.39932,1007.16640,-761.12620,-585.08668,968.82690,-582.52853,-587.74194,971.91170,-626.03547,-601.83898,873.58992,-384.97238,-673.10604,672.87415,-432.46209,-678.01832,677.69979,-362.92286,-587.36862,703.14132,-352.95009,-437.17749,759.76143,-392.70181,-436.37399,710.97245,-385.45447,-610.65767,864.69159,-821.31582,-678.65878,672.64140,-765.53606,-672.12436,681.97871,-849.29418,-600.49577,703.95327,-854.45192,-444.35326,750.15504,-815.47040,-445.36584,701.24455,-828.81167,-601.41402,483.90667,-513.43828,-608.71106,483.03981,-702.85832,-595.55641,495.27129,-521.97603,-601.98110,493.72559,-691.83572,0.07000000,0.00495067,0.01072995,0.02375055
0.08000000,15.66454538,0.20075084,1.57051490,-0.56436669,0.57680826,-0.61202931,74.94546033,-9.02920236,2.49125729,101.81346623,1.77698021,19.04923257,3.48379212,-6.72998358,78.58678503,-5.10211541,5.01779586,99.59086845,1.73818856,-0.13457392,-7.99557486,-6.72998358,-24.73624503,0.76694043,0.64318455,-0.66156746,-3.78383860,-12.73119059,115.53590827,99.48763962,0.93012306,-1.80038876,-6.92779069,110.46977445,101.12979690,9,0.08000000,-232.01169,481.49819,-411.38262,-171.54613,396.37699,-423.29706,-294.97966,91.28377,-438.01757,-358.06268,57.51119,-481.76586,-169.48249,46.64237,-410.72155,-143.11896,75.60996,-467.75851,-238.39013,505.05235,-802.60826,-170.37889,432.01423,-789.18871,-263.68360,112.09346,-800.19068,-340.20099,77.36175,-753.91820,-163.88730,42.88026,-834.05810,-116.35221,63.72035,-777.56570,-195.95143,285.16343,-428.29603,-234.34118,405.18100,-381.06965,-262.72346,294.48118,-380.75328,-250.18606,453.21838,-828.71839,-264.27967,332.69494,-840.74360,-503.84949,540.89460,-421.74486,-395.68576,546.50900,-425.08620,-368.18698,495.23839,-386.02911,-498.88773,430.90873,-391.93031,-383.47272,440.76438,-400.59691,-482.59796,562.98101,-788.33935,-344.24344,582.53782,-774.94211,-469.16948,466.03513,-836.24609,-337.35829,481.49650,-814.37377,-540.75254,589.37432,-488.66155,-750.41465,569.41660,-567.21354,-556.76208,586.18858,-745.17044,-753.71706,568.59219,-656.15457,-711.76234,1040.25797,-603.95560,-631.98002,1006.88027,-439.00444,-629.34061,1007.12767,-761.12339,-585.32743,969.33879,-583.19736,-587.54137,971.78850,-626.01476,-601.51620,873.56579,-384.99369,-672.97639,672.96426,-432.28468,-677.84114,677.72443,-362.77108,-587.17168,703.17552,-352.87313,-436.96669,759.64043,-392.68597,-436.11818,710.79799,-385.49357,-610.59567,864.75542,-821.31965,-678.58571,672.72562,-766.00854,-671.80395,682.06303,-849.76422,-600.34771,704.07274,-854.55612,-444.19267,750.26447,-815.48990,-445.19249,701.36833,-828.89364,-601.53266,483.96658,-513.46751,-608.77179,483.17378,-702.89009,-595.81283,495.56624,-522.12751,-602.10687,493.99512,-691.64175,0.08000000,0.00495865,0.01073860,0.02376906
0.09000000,15.73849055,0.21637172,1.54882943,-0.56455532,0.57703072,-0.61195868,74.85581161,-9.00817814,2.51266804,101.79083337,1.77658519,19.06773999,3.51259615,-6.85142774,78.48012533,-5.11660310,5.00258929,99.56321137,1.73770585,-0.13657731,-7.98141703,-6.85142774,-24.88232085,0.73323088,0.71924313,-0.62301713,-3.82198332,-12.76082301,115.54303454,99.44132122,1.06421057,-1.84688726,-6.81020183,110.47882620,101.10466537,10,0.09000000,-232.07112,481.52654,-411.36041,-171.59587,396.40155,-423.28033,-294.94932,91.34652,-437.98965,-358.03767,57.49430,-481.75614,-169.50058,46.67547,-410.71292,-143.11408,75.61235,-467.79678,-238.39237,505.08332,-802.57534,-170.39169,432.05084,-789.11996,-263.65083,112.12438,-800.19340,-340.25560,77.33069,-753.79944,-163.88024,42.88465,-834.05502,-116.43251,63.77599,-777.70909,-195.92535,285.19180,-428.38244,-234.40770,405.18206,-381.04009,-262.80797,294.42205,-380.71594,-250.16294,453.26303,-828.68353,-264.27675,332.76528,-840.72101,-503.90448,540.89934,-421.75347,-395.56276,546.64515,-425.26467,-368.24747,495.23094,-386.06898,-498.92165,430.90902,-392.05174,-383.53310,440.76850,-400.60094,-482.62291,563.03006,-788.38070,-344.27800,582.58623,-774.90041,-469.16343,466.03037,-836.24467,-337.36912,481.48431,-814.26100,-541.01500,589.53367,-488.82819,-750.54472,569.33580,-567.24253,-557.06427,586.42437,-744.65070,-753.78282,568.55380,-656.17321,-711.45070,1040.22100,-603.79505,-631.61834,1006.82163,-438.91808,-629.22878,1007.06221,-761.04920,-585.52087,969.83027,-583.82340,-587.27130,971.65922,-626.01998,-601.17829,873.54750,-384.98477,-672.78247,673.07666,-432.00192,-677.59013,677.81633,-362.51611,-586.93003,703.17616,-352.79414,-436.71039,759.48275,-392.63926,-435.89517,710.66092,-385.47484,-610.50170,864.83511,-821.35172,-678.47594,672.91075,-766.26326,-671.45924,682.11913,-850.02824,-600.14635,704.16856,-854.62230,-444.01508,750.42870,-815.45792,-444.99472,701.47598,-828.84567,-601.63772,484.05766,-513.41175,-608.80070,483.33565,-702.83747,-596.02363,495.85572,-522.26039,-602.17984,494.36864,-691.32901,0.09000000,0.00495657,0.01073634,0.02371489
