time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,time,total_squared_error,marker_error_RMS,marker_error_max,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51
0.00000000,20.46832403,-1.37325058,1.89819838,-0.51963792,0.57728030,-0.59687602,67.39210672,-7.56052704,3.19861424,102.95123933,1.79683810,15.91360619,-6.39763406,-5.02568117,67.62990282,-3.42926936,5.80197965,104.18497016,1.81837076,16.12922445,-6.81775362,-5.02568117,-39.79318382,2.16307992,-1.75734592,-3.14084795,-13.07540541,14.70074264,137.90201917,100.50799623,-7.05396608,-12.56380684,11.53893851,137.90527394,96.35111297,0.00000000,0.00992294,0.01519099,0.03170787,1,0.00000000,-159.23442,470.08937,-383.25358,-105.60363,427.65958,-388.59409,-262.88799,99.32246,-409.34593,-324.35764,58.60376,-457.64102,-144.90295,41.11572,-368.24500,-103.25697,61.00243,-423.03756,-165.72929,461.36747,-795.51146,-131.60779,388.91306,-803.77129,-268.11449,99.06104,-759.52271,-331.29449,59.33899,-709.92206,-153.53242,41.92298,-792.56824,-108.84885,59.81116,-739.30182,-131.66715,316.98666,-402.57449,-175.70203,437.36735,-358.37094,-200.21248,324.86005,-353.44229,-215.14600,419.31200,-812.79242,-247.39540,299.63687,-804.00297,-430.23622,568.51558,-488.27931,-324.31061,574.83050,-462.84987,-314.63002,559.64667,-397.57556,-452.80971,522.93359,-389.59521,-339.50640,516.95195,-369.70978,-470.42560,542.67072,-773.79059,-332.56275,519.23640,-804.45190,-491.32795,431.59991,-788.40969,-355.79942,407.52469,-778.81978,-501.12328,594.98553,-469.58537,-692.56628,550.63531,-545.60773,-497.97400,579.98504,-707.61671,-692.61014,551.03830,-642.96177,-588.19024,1041.24243,-599.99992,-526.33084,996.72900,-433.76165,-525.97644,1000.69982,-750.55950,-490.27992,928.41760,-577.44220,-486.90070,929.01499,-612.80435,-574.62309,772.97516,-343.49460,-653.15249,678.19636,-371.34124,-605.58776,687.65918,-316.87202,-486.80644,723.68658,-379.44081,-425.01170,778.17750,-437.11668,-406.31434,735.94482,-434.45853,-586.06066,787.77192,-853.24519,-653.77692,677.65619,-814.44624,-623.61687,688.28284,-881.85260,-492.49676,719.76282,-821.36946,-420.07504,770.53826,-762.64962,-405.45450,728.21898,-762.22784,-540.72035,489.57382,-502.12872,-552.93763,484.62259,-692.34387,-536.35571,493.85968,-502.95824,-536.42662,494.51133,-660.38293
0.01000000,20.72771462,-1.38028973,1.89218742,-0.51978630,0.57770378,-0.59689413,67.04203890,-7.52483148,3.18977618,102.90820435,1.79608699,16.13472554,-6.61586021,-5.30000530,67.31044573,-3.43609361,5.80073594,104.22103566,1.81900022,16.34043631,-7.11959045,-5.30000530,-40.07743623,2.19814257,-1.71385305,-3.04303166,-13.14640196,15.05143415,138.27631949,97.59068315,-6.98496704,-12.68618021,11.90849227,138.20073887,93.39340402,0.01000000,0.00993341,0.01519900,0.03154526,2,0.01000000,-159.23592,470.08085,-383.23555,-105.64157,427.61582,-388.60296,-262.86944,99.36580,-409.35737,-324.35492,58.60702,-457.65924,-144.95671,41.12485,-368.38238,-103.25029,60.97787,-423.01736,-165.72539,461.35600,-795.51580,-131.62592,388.78324,-803.54697,-268.09726,99.07041,-759.58171,-331.29539,59.34400,-709.92668,-153.52195,41.93193,-792.56176,-108.87862,59.82292,-739.23738,-131.57915,317.00829,-402.55537,-175.75102,437.43105,-358.41329,-200.13979,324.54567,-353.50103,-215.14040,419.30049,-812.88031,-247.34581,299.66211,-804.07340,-430.26109,568.44121,-488.28578,-324.30020,574.81142,-462.83307,-314.68174,559.63589,-397.57153,-452.75728,522.96979,-389.58776,-339.45633,516.96611,-369.70208,-470.42679,542.67139,-773.79669,-332.54069,519.20621,-804.45207,-491.31041,431.57108,-788.30714,-355.76852,407.53866,-778.85924,-501.35871,594.82632,-469.65516,-692.63392,550.62552,-545.61943,-497.88349,580.12214,-707.50576,-692.51685,550.92389,-642.94088,-588.14554,1041.21328,-600.07932,-526.30662,996.76655,-433.79081,-525.97692,1000.70648,-750.55718,-490.25769,928.43345,-577.46249,-486.86505,929.00528,-612.80292,-574.64752,773.00544,-343.54739,-653.07951,678.20544,-371.30570,-605.50601,687.67967,-316.81100,-486.78081,723.77989,-379.48926,-425.04467,778.13363,-437.14030,-406.61642,737.15747,-434.41586,-586.10110,787.85783,-853.35432,-653.81712,677.69511,-814.46263,-623.65114,688.31304,-881.86453,-492.56014,719.76153,-821.33891,-420.08055,770.51222,-762.68776,-405.47649,728.19151,-762.23600,-540.77586,489.49471,-502.13813,-552.86920,484.67597,-692.36467,-536.66853,494.04254,-502.96218,-536.47928,494.52456,-660.25884
0.02000000,20.72989842,-1.38552220,1.92858964,-0.51982965,0.57764357,-0.59696161,67.04797925,-7.59897783,3.20040985,102.97525771,1.79725730,16.88268860,-5.42853526,-5.50504694,67.30562494,-3.42670218,5.87052274,104.21978247,1.81897835,17.03402028,-5.98097333,-5.50504694,-40.10216663,2.20802840,-1.91872630,-2.81700498,-13.14427833,15.01342055,137.88311357,101.79116082,-7.11896511,-12.59618160,11.43950419,137.93309885,96.68731864,0.02000000,0.00989912,0.01517274,0.03159574,3,0.02000000,-159.25624,470.06787,-383.25142,-105.64007,427.63207,-388.59995,-262.87098,99.36896,-409.36186,-324.35345,58.59965,-457.65348,-144.97428,41.10341,-368.41732,-103.25219,60.96764,-423.01506,-165.72286,461.32901,-795.51413,-131.62520,388.74503,-803.50320,-268.09905,99.06549,-759.58925,-331.29126,59.33290,-709.92585,-153.52264,41.92617,-792.57226,-108.88328,59.82301,-739.21906,-131.55610,316.99016,-402.54520,-175.70163,437.47398,-358.31341,-200.11161,324.56162,-353.51783,-215.12976,419.29036,-812.91518,-247.33581,299.66115,-804.10268,-430.27733,568.45287,-488.30477,-324.29270,574.82605,-462.84579,-314.65100,559.65449,-397.57132,-452.79399,522.98992,-389.59917,-339.43321,516.98246,-369.69621,-470.42024,542.66318,-773.79680,-332.53213,519.18640,-804.45274,-491.31169,431.57016,-788.34962,-355.74316,407.52766,-778.93947,-501.44269,594.74879,-469.68806,-692.64781,550.59909,-545.61589,-498.21848,579.90653,-707.76089,-692.50614,550.95455,-642.96044,-588.14666,1041.19638,-600.11242,-526.26103,996.78428,-433.79093,-525.97172,1000.70990,-750.56064,-490.23348,928.44113,-577.47124,-486.84687,929.00212,-612.81441,-574.60200,773.01762,-343.54775,-653.04769,678.23004,-371.26747,-605.45328,687.69726,-316.78604,-486.75719,723.75736,-379.61629,-425.03635,778.19587,-437.25851,-406.76994,737.63137,-434.42443,-586.12323,787.89314,-853.40118,-653.84313,677.72535,-814.47295,-623.68262,688.33375,-881.88386,-492.61038,719.70610,-821.29393,-420.07531,770.49110,-762.71984,-405.49703,728.14311,-762.27371,-540.86205,489.42084,-502.22761,-553.09580,484.54562,-692.44350,-536.82687,493.79090,-503.09535,-536.59783,494.36580,-660.54189
0.03000000,20.67957572,-1.41134302,1.99590605,-0.51989084,0.57756886,-0.59714440,67.09608821,-7.65614772,3.11673046,102.94280250,1.79669084,16.45557058,-6.06613927,-5.72276402,67.38742412,-3.34213081,5.88890530,104.18508611,1.81837278,16.58796899,-6.68593183,-5.72276402,-40.05724485,2.27667225,-1.82747487,-2.93096734,-13.15934394,14.73649017,137.64927646,104.93015523,-6.98799571,-12.60788728,11.44033969,137.48840185,99.60089844,0.03000000,0.00987239,0.01515224,0.03169434,4,0.03000000,-159.24818,470.07726,-383.24835,-105.63943,427.64252,-388.59965,-262.88370,99.34297,-409.36036,-324.35453,58.57559,-457.64181,-144.97106,41.06281,-368.38484,-103.25838,60.95824,-423.02634,-165.71559,461.28540,-795.50585,-131.61167,388.78757,-803.61541,-268.10968,99.04781,-759.56133,-331.28905,59.31141,-709.92877,-153.53075,41.90651,-792.59075,-108.86207,59.80635,-739.26364,-131.57919,316.97965,-402.56850,-175.63954,437.50699,-358.15783,-200.11761,324.68933,-353.48533,-215.12177,419.28359,-812.92195,-247.34829,299.63172,-804.09499,-430.28170,568.48698,-488.32831,-324.28862,574.82736,-462.85756,-314.58964,559.68138,-397.58094,-452.83671,523.02577,-389.61169,-339.44822,516.99543,-369.70110,-470.41468,542.64723,-773.79674,-332.52496,519.16404,-804.44598,-491.31330,431.56697,-788.42140,-355.72743,407.50320,-778.99032,-501.40046,594.73168,-469.68163,-692.63759,550.58398,-545.61814,-498.70398,579.52226,-708.16990,-692.57281,551.04964,-642.97312,-588.14904,1041.19652,-600.10274,-526.21113,996.78998,-433.77896,-525.94908,1000.72996,-750.55021,-490.20983,928.43818,-577.47484,-486.83492,929.00737,-612.82845,-574.52671,773.01493,-343.53765,-653.03077,678.25343,-371.22809,-605.41659,687.69534,-316.79478,-486.71841,723.70887,-379.74394,-424.99674,778.28615,-437.38705,-406.54627,736.91624,-434.52272,-586.13327,787.89054,-853.40310,-653.85569,677.74033,-814.48663,-623.70270,688.34182,-881.90083,-492.64450,719.62075,-821.27899,-420.06526,770.45778,-762.74078,-405.49564,728.07875,-762.34533,-540.95229,489.36415,-502.33239,-553.44945,484.32391,-692.52687,-536.85338,493.36295,-503.23154,-536.74860,494.11739,-660.96211
0.04000000,20.66874060,-1.41768368,2.00896635,-0.51986371,0.57754056,-0.59716260,67.10354213,-7.67037331,3.10746055,102.94721006,1.79676777,16.49338581,-6.01781341,-6.35467154,67.40139247,-3.33100434,5.90396242,104.18497961,1.81837093,16.60233313,-6.67073313,-6.35467154,-40.04495109,2.28760242,-1.85891802,-2.89925662,-13.16719859,14.74765740,137.52311267,104.96771829,-7.02062831,-12.60106161,11.40775576,137.49788119,99.53927460,0.04000000,0.00987899,0.01515731,0.03171626,5,0.04000000,-159.21672,470.07566,-383.21827,-105.65927,427.60479,-388.61121,-262.90159,99.32668,-409.35328,-324.35584,58.54957,-457.64539,-144.97176,41.03594,-368.36381,-103.26268,60.94013,-423.03857,-165.70249,461.25399,-795.50349,-131.60430,388.79265,-803.67259,-268.10224,99.03319,-759.57686,-331.29486,59.29306,-709.94384,-153.53573,41.88287,-792.60357,-108.84114,59.78459,-739.33149,-131.60614,316.99025,-402.60313,-175.65166,437.50747,-358.15393,-200.10734,324.61545,-353.48908,-215.12207,419.26697,-812.91894,-247.36004,299.58713,-804.06455,-430.27421,568.47759,-488.32534,-324.28784,574.78212,-462.84492,-314.56764,559.67512,-397.59032,-452.78633,523.07883,-389.60550,-339.45963,517.00694,-369.70738,-470.41454,542.62771,-773.80246,-332.51126,519.13076,-804.43926,-491.30450,431.52553,-788.38182,-355.72873,407.47553,-778.94893,-501.34812,594.73311,-469.65261,-692.63198,550.59884,-545.64453,-498.68492,579.45898,-708.21102,-692.61674,551.08185,-642.93965,-588.10874,1041.19950,-600.11984,-526.16609,996.80001,-433.76929,-525.90993,1000.77028,-750.53862,-490.18896,928.43316,-577.49782,-486.81067,929.02049,-612.83156,-574.47629,773.02452,-343.54470,-652.95080,678.25210,-371.19728,-605.34785,687.66687,-316.81628,-486.64625,723.73960,-379.76049,-424.96749,778.27281,-437.40184,-406.15581,736.05072,-434.58149,-586.14309,787.88572,-853.40655,-653.86615,677.74275,-814.50477,-623.71481,688.34484,-881.92423,-492.66292,719.55879,-821.31917,-420.07264,770.39350,-762.74986,-405.47332,728.02281,-762.41487,-540.96178,489.35762,-502.32518,-553.47917,484.28830,-692.51762,-536.77980,493.29272,-503.21163,-536.75504,494.07587,-660.99065
0.05000000,20.66650291,-1.41270966,1.94472672,-0.51980024,0.57759554,-0.59699550,67.10780069,-7.58888953,3.13633997,102.93813335,1.79660935,16.43702845,-6.13118931,-6.43976077,67.38254958,-3.41103860,5.86468984,104.17480278,1.81819331,16.57802257,-6.73094191,-6.43976077,-40.04704568,2.23674422,-1.79609116,-2.91047831,-13.15351211,14.78091663,137.59672618,103.76017208,-7.02389078,-12.62997938,11.49198490,137.59465951,98.62277862,0.05000000,0.00989245,0.01516763,0.03166134,6,0.05000000,-159.21575,470.03133,-383.21695,-105.66543,427.57903,-388.62229,-262.91144,99.33044,-409.34696,-324.35855,58.53854,-457.64988,-144.97575,41.04464,-368.37253,-103.26538,60.92356,-423.04579,-165.69270,461.24998,-795.51358,-131.60449,388.72717,-803.61539,-268.08134,99.02437,-759.62178,-331.30421,59.27539,-709.96534,-153.53770,41.85903,-792.61292,-108.84362,59.76686,-739.36100,-131.61797,316.99051,-402.58451,-175.67686,437.46518,-358.29536,-200.08529,324.49340,-353.52433,-215.12173,419.23530,-812.88779,-247.36087,299.55240,-804.04433,-430.25102,568.46042,-488.28230,-324.28275,574.72979,-462.82679,-314.58843,559.64002,-397.59950,-452.69334,523.07109,-389.58532,-339.43098,517.00037,-369.69595,-470.41275,542.60604,-773.81260,-332.51153,519.11903,-804.45402,-491.29917,431.47009,-788.29932,-355.74645,407.44113,-778.86240,-501.33063,594.74826,-469.61994,-692.61770,550.63253,-545.69031,-498.18456,579.73547,-707.88214,-692.58526,551.03861,-642.90858,-588.06309,1041.18633,-600.19624,-526.11648,996.81240,-433.77894,-525.85655,1000.82119,-750.58112,-490.16574,928.43897,-577.55096,-486.78433,929.03282,-612.83370,-574.42687,773.05896,-343.51353,-652.79193,678.25532,-371.18640,-605.24090,687.65300,-316.81800,-486.54315,723.80990,-379.69025,-424.94680,778.17767,-437.33399,-405.97508,736.05699,-434.51757,-586.14766,787.88764,-853.42246,-653.87002,677.74836,-814.52830,-623.73133,688.35652,-881.98064,-492.65855,719.53849,-821.39758,-420.10063,770.31732,-762.76566,-405.47284,727.96375,-762.43416,-540.88690,489.40122,-502.22157,-553.16238,484.45044,-692.43283,-536.65674,493.59659,-503.06445,-536.60414,494.25480,-660.64179
0.06000000,20.74392426,-1.42756761,1.90692746,-0.51979327,0.57772992,-0.59687090,67.01040720,-7.52184022,3.12903150,102.93246909,1.79651049,16.42366228,-6.24736268,-6.68621566,67.27405337,-3.46665986,5.87892145,104.17946691,1.81827471,16.63114928,-6.77296840,-6.68621566,-40.12884519,2.19890362,-1.74808349,-2.91259985,-13.20505281,15.15548824,138.20804505,96.46987520,-6.97440695,-12.70297913,11.89782200,138.21757967,93.09522211,0.06000000,0.00998760,0.01524040,0.03156802,7,0.06000000,-159.22364,470.00597,-383.23853,-105.66011,427.58860,-388.62731,-262.88948,99.33453,-409.35636,-324.36415,58.54186,-457.64320,-144.97413,41.08501,-368.39334,-103.26837,60.91321,-423.05208,-165.68875,461.25004,-795.52721,-131.59526,388.71191,-803.63362,-268.07399,99.01238,-759.60779,-331.31201,59.25424,-709.98394,-153.54255,41.83607,-792.62161,-108.86137,59.74895,-739.34755,-131.60744,317.00240,-402.51413,-175.66544,437.43467,-358.36814,-200.08440,324.55018,-353.46940,-215.11149,419.20395,-812.85607,-247.33418,299.54703,-804.08153,-430.22516,568.44581,-488.23658,-324.26268,574.72518,-462.83230,-314.63776,559.61333,-397.62640,-452.66099,522.96561,-389.56625,-339.39597,516.95933,-369.67245,-470.40929,542.58785,-773.82713,-332.52528,519.13552,-804.47794,-491.28012,431.46327,-788.31116,-355.75819,407.41640,-778.81184,-501.31942,594.75538,-469.61158,-692.60228,550.66274,-545.73153,-497.84926,579.91858,-707.66018,-692.54827,550.96858,-642.91315,-588.05761,1041.14587,-600.26076,-526.06788,996.82139,-433.83388,-525.78381,1000.88572,-750.67149,-490.13619,928.45768,-577.60681,-486.77168,929.03804,-612.84707,-574.34435,773.09388,-343.43300,-652.62836,678.31185,-371.18007,-605.13732,687.70617,-316.76259,-486.44410,723.85288,-379.63607,-424.90121,778.12469,-437.30869,-405.94696,736.33235,-434.49252,-586.13550,787.88992,-853.44364,-653.84766,677.77136,-814.57641,-623.74682,688.37813,-882.05769,-492.63481,719.53312,-821.49168,-420.11919,770.25665,-762.80921,-405.50283,727.88511,-762.43076,-540.82928,489.43106,-502.15627,-552.93346,484.54614,-692.38041,-536.60525,493.85449,-502.93352,-536.51778,494.34992,-660.36609
0.07000000,20.66442237,-1.40525486,1.91177207,-0.51971009,0.57759853,-0.59692367,67.11876505,-7.56189522,3.15091086,102.94962350,1.79680989,16.41722145,-6.13076949,-6.91225561,67.37350342,-3.44991111,5.84550469,104.19057117,1.81846852,16.62429307,-6.64624901,-6.91225561,-40.03838184,2.18901485,-1.77431499,-2.89778030,-13.17535808,14.72820199,137.48356922,105.11009133,-7.03917778,-12.64645972,11.44061316,137.48395412,99.44848048,0.07000000,0.00986389,0.01514572,0.03158149,8,0.07000000,-159.20496,470.03481,-383.24176,-105.66390,427.59285,-388.63654,-262.85279,99.33175,-409.36878,-324.36518,58.55460,-457.63850,-144.96620,41.11927,-368.41054,-103.27076,60.90583,-423.06559,-165.68595,461.24256,-795.53029,-131.57541,388.77302,-803.75604,-268.07789,99.00546,-759.55931,-331.31697,59.23888,-709.99457,-153.54681,41.82186,-792.62561,-108.86943,59.73428,-739.33780,-131.58822,317.03987,-402.48725,-175.65929,437.44592,-358.32421,-200.06163,324.63572,-353.37643,-215.09506,419.17834,-812.86794,-247.28997,299.55632,-804.15394,-430.23357,568.39293,-488.22871,-324.24206,574.77023,-462.87562,-314.67451,559.60349,-397.65208,-452.68133,522.88376,-389.56147,-339.38370,516.93142,-369.65123,-470.41233,542.58017,-773.84382,-332.52126,519.13029,-804.47907,-491.22938,431.51239,-788.41148,-355.74524,407.41708,-778.83621,-501.28950,594.74050,-469.63446,-692.59072,550.66332,-545.73144,-497.87677,579.87368,-707.69606,-692.56160,550.92569,-642.91731,-588.07090,1041.08561,-600.25131,-526.01806,996.83590,-433.88818,-525.71381,1000.94089,-750.72485,-490.10457,928.48089,-577.63305,-486.74887,929.05651,-612.84464,-574.24779,773.10930,-343.36941,-652.51818,678.39027,-371.15025,-605.03756,687.79799,-316.66371,-486.38576,723.85898,-379.63583,-424.83765,778.14549,-437.34728,-405.89353,736.26003,-434.59280,-586.09936,787.90278,-853.49365,-653.80703,677.80742,-814.64154,-623.74695,688.39578,-882.11176,-492.61448,719.50665,-821.56063,-420.10950,770.19433,-762.85730,-405.50885,727.83370,-762.48989,-540.81770,489.41662,-502.16916,-552.95514,484.50268,-692.39041,-536.60375,493.86774,-502.90687,-536.55655,494.29277,-660.34909
0.08000000,20.59021544,-1.38296428,1.91433185,-0.51965393,0.57745780,-0.59693285,67.22588228,-7.58554172,3.15892508,102.96568459,1.79709021,16.29064699,-6.29865361,-6.96862752,67.46418293,-3.43732959,5.80892253,104.18825728,1.81842813,16.51414193,-6.80590918,-6.96862752,-39.94179920,2.16634565,-1.75774342,-2.97637124,-13.15284148,14.77518439,137.73598278,102.02109602,-7.03056037,-12.65224227,11.53837678,137.66407123,97.33799259,0.08000000,0.00990181,0.01517480,0.03161485,9,0.08000000,-159.19862,470.07009,-383.23620,-105.65656,427.58875,-388.66035,-262.84369,99.33126,-409.35667,-324.36039,58.57099,-457.63823,-144.96168,41.11627,-368.42567,-103.26876,60.90236,-423.07864,-165.68830,461.24173,-795.50414,-131.56982,388.78204,-803.76319,-268.07132,99.01884,-759.55368,-331.31565,59.23430,-709.99500,-153.54562,41.82089,-792.62749,-108.85722,59.72905,-739.35468,-131.58235,317.05286,-402.55335,-175.66455,437.47300,-358.30977,-200.00047,324.60884,-353.42618,-215.07926,419.16478,-812.90009,-247.26968,299.55553,-804.18050,-430.27752,568.34098,-488.24877,-324.24946,574.79974,-462.92626,-314.65597,559.59329,-397.65156,-452.68847,522.90645,-389.57117,-339.38162,516.94956,-369.64755,-470.42572,542.58035,-773.85417,-332.50868,519.10641,-804.46792,-491.20488,431.53872,-788.46737,-355.72551,407.42360,-778.90816,-501.25732,594.74039,-469.66490,-692.55458,550.63889,-545.68446,-497.95353,579.81237,-707.76126,-692.57639,550.93702,-642.90581,-588.05113,1041.04580,-600.20234,-525.93952,996.85353,-433.87726,-525.68289,1000.93739,-750.70200,-490.06896,928.49870,-577.63439,-486.69041,929.09894,-612.80263,-574.16782,773.11704,-343.34263,-652.44580,678.41737,-371.10464,-604.91876,687.84598,-316.58945,-486.35247,723.83579,-379.66110,-424.77470,778.17165,-437.36465,-405.83471,736.14721,-434.68723,-586.03711,787.94866,-853.60985,-653.78118,677.83873,-814.68223,-623.73513,688.40293,-882.13335,-492.60563,719.46748,-821.58108,-420.08337,770.11494,-762.87529,-405.47372,727.83691,-762.59810,-540.79433,489.40585,-502.18950,-553.01068,484.46503,-692.40497,-536.54067,493.78535,-502.95752,-536.57583,494.26824,-660.42403
0.09000000,20.65664484,-1.39484927,1.92971748,-0.51970311,0.57760061,-0.59694863,67.12571072,-7.58374143,3.16689750,102.96029325,1.79699612,16.53538033,-5.95941274,-7.10396605,67.37871345,-3.41989962,5.85326166,104.18665949,1.81840024,16.67789087,-6.56707666,-7.10396605,-40.04276973,2.19229268,-1.84808182,-2.81003734,-13.20581888,14.85145689,137.45460573,104.80239695,-7.09520090,-12.64832251,11.33959132,137.51595739,99.44774598,0.09000000,0.00985645,0.01514001,0.03161644,10,0.09000000,-159.21735,470.07500,-383.27334,-105.62362,427.60503,-388.69490,-262.87597,99.32017,-409.35498,-324.35834,58.58603,-457.63820,-144.95791,41.10555,-368.43069,-103.26080,60.90290,-423.07501,-165.69429,461.26698,-795.47250,-131.58699,388.72016,-803.61552,-268.05112,99.04866,-759.57877,-331.30793,59.23965,-709.98724,-153.54357,41.82714,-792.63276,-108.83401,59.72633,-739.37867,-131.57914,317.02946,-402.62232,-175.65049,437.49392,-358.34136,-200.00522,324.60296,-353.59619,-215.06621,419.18631,-812.90094,-247.28583,299.55213,-804.13655,-430.30983,568.37165,-488.27175,-324.27717,574.77660,-462.93843,-314.62984,559.57946,-397.66738,-452.70023,522.89144,-389.57997,-339.40537,516.95467,-369.69339,-470.44494,542.58256,-773.85776,-332.52448,519.12100,-804.46836,-491.25145,431.50159,-788.42314,-355.73346,407.41951,-778.93283,-501.26587,594.77087,-469.69967,-692.51101,550.61493,-545.62366,-497.94428,579.80964,-707.76360,-692.54781,550.99105,-642.89423,-587.98975,1041.04820,-600.15894,-525.82863,996.86211,-433.84256,-525.68196,1000.87700,-750.64999,-490.01627,928.50698,-577.63636,-486.62237,929.12161,-612.77836,-574.10238,773.12574,-343.32812,-652.36455,678.40598,-371.05895,-604.81486,687.83996,-316.57428,-486.29630,723.80691,-379.68255,-424.70180,778.17620,-437.34278,-405.78774,736.18265,-434.70047,-585.96394,788.01465,-853.75654,-653.77277,677.85170,-814.69261,-623.71964,688.40811,-882.14625,-492.59119,719.44822,-821.58687,-420.05254,770.05400,-762.88582,-405.44399,727.84143,-762.65535,-540.76258,489.42571,-502.18424,-553.00200,484.47686,-692.39803,-536.46052,493.71774,-503.05524,-536.51996,494.32656,-660.50137
