time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,time,total_squared_error,marker_error_RMS,marker_error_max,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51
0.00000000,29.85335090,-1.93602764,-0.75622926,-0.52913276,0.58677697,-0.60125984,58.48547719,-4.68972583,-0.05609906,94.62101232,1.65144821,6.42380977,-2.30788740,-4.10749556,57.93377472,-7.35420175,1.89506572,96.42355564,1.68290852,10.41935331,-5.08293427,-4.10749556,-42.96079830,3.89194980,-0.92623754,47.03192044,-16.56322278,13.98712480,69.85356109,93.32014592,46.42905652,-16.59626916,14.58010290,65.14400756,85.56175845,0.00000000,0.02567603,0.02443598,0.05540725,1,0.00000000,-193.10497,455.58122,-404.08656,-131.58799,405.06956,-408.39806,-220.23629,88.20007,-427.42139,-276.58896,58.52689,-470.48489,-113.00236,44.15116,-404.59020,-77.69723,63.41365,-458.51409,-169.84975,455.36727,-785.44526,-114.03746,372.65399,-768.01110,-225.12991,95.25915,-765.68250,-285.10918,55.12112,-723.16558,-123.73575,44.45689,-790.60303,-76.71854,61.40153,-735.77552,-151.22700,293.40316,-403.85215,-201.91499,417.84550,-380.42442,-228.65390,303.87499,-379.17087,-188.58767,398.43127,-810.46027,-212.50092,277.76929,-813.17928,-435.66106,526.24491,-394.08017,-323.99925,521.02319,-391.26797,-305.66104,451.03606,-387.94753,-443.20896,410.10125,-402.29436,-325.83607,407.63967,-414.63519,-446.46724,524.92025,-794.99925,-307.79300,518.54199,-789.62381,-456.44580,412.33169,-803.76630,-319.78814,405.53216,-779.89589,-531.49944,597.54808,-493.11180,-722.77686,525.10875,-569.09592,-530.17866,599.24092,-706.01958,-717.49945,524.81589,-648.99537,-660.83386,990.74282,-592.29614,-597.65617,961.36142,-449.70056,-592.58086,962.52063,-728.50566,-539.96367,932.43738,-571.02011,-547.29460,921.27654,-591.35855,-525.34076,885.07262,-387.93670,-451.26805,677.77692,-369.30461,-427.54011,718.45224,-318.85254,-338.83473,750.62891,-333.23654,-204.10997,752.76319,-378.78508,-200.34581,718.84446,-361.30900,-530.64510,892.26521,-797.28169,-418.70843,697.65775,-807.47442,-402.23572,743.22538,-850.54072,-296.16713,756.87250,-829.62185,-178.36546,750.22316,-781.57450,-177.50814,713.60772,-798.31054,-558.76284,482.44949,-497.48050,-555.14285,486.62259,-704.91439,-565.10574,508.22053,-523.76584,-555.84414,507.70657,-663.98565
0.01000000,29.69303914,-1.96363068,-0.75738912,-0.52866258,0.58696806,-0.60141331,58.60945763,-4.70228680,-0.10381912,94.61839160,1.65140247,6.64207712,-2.47074114,-4.19007103,58.07454281,-7.37945208,1.86939617,96.46556753,1.68364177,10.75210479,-5.28655849,-4.19007103,-43.02375845,3.77942181,-0.70742456,47.04275516,-16.84604875,13.95139155,69.96055827,93.15687496,46.77060692,-16.43702542,14.87793544,65.23727960,85.40988792,0.01000000,0.02528604,0.02424969,0.05532206,2,0.01000000,-193.05587,455.74368,-404.08344,-131.62263,405.13403,-408.43886,-220.17643,88.32881,-427.37596,-276.68128,58.61265,-470.53046,-113.16540,44.28011,-404.48627,-77.77141,63.57774,-458.31729,-169.93008,455.39549,-785.55310,-114.09187,372.75931,-767.99748,-225.14762,95.44984,-765.84926,-285.18885,55.22156,-723.13692,-123.73288,44.38920,-790.46486,-76.71555,61.50561,-735.72628,-151.23312,293.55459,-403.84878,-201.91640,417.86431,-380.66554,-228.67186,304.06268,-379.34458,-188.69648,398.48972,-810.53966,-212.56541,277.89234,-813.35779,-435.45788,526.37650,-394.06382,-324.04805,521.01071,-391.54393,-305.60506,451.25197,-388.03483,-443.07994,410.33411,-402.37212,-325.79281,407.78570,-414.67648,-446.50966,524.92155,-794.96076,-307.81271,518.60560,-789.81588,-456.50811,412.36590,-803.76591,-319.86466,405.63515,-779.88532,-531.01726,597.59135,-493.14953,-722.55273,525.43163,-569.15450,-529.88246,599.26998,-706.03415,-717.33922,525.24053,-649.14896,-659.25493,991.08239,-591.91075,-595.95978,961.55683,-449.44949,-591.06190,963.00435,-728.27988,-538.35252,932.62103,-571.03883,-540.50983,925.24110,-599.84027,-523.71346,885.41858,-387.71241,-450.02802,678.41020,-369.15620,-426.04799,718.55986,-318.83857,-337.31977,750.86857,-333.11069,-202.69144,752.70314,-378.67243,-198.95152,718.76489,-361.19065,-528.35833,893.04481,-797.76162,-417.19838,698.36872,-808.21579,-400.78621,743.87860,-850.26007,-294.76237,757.47623,-829.67185,-176.85269,750.63009,-781.46793,-176.08907,713.97835,-798.26087,-558.59796,482.49008,-497.59026,-555.01506,486.73264,-705.02337,-564.77071,508.19494,-523.89299,-555.63277,507.85986,-664.10545
0.02000000,29.51426138,-1.94136535,-0.74693145,-0.52832783,0.58708872,-0.60145349,58.76953069,-4.73052026,-0.07552934,94.60123061,1.65110295,6.59611567,-2.44032987,-4.33545354,58.24491514,-7.37254639,1.83764176,96.44362404,1.68325878,10.66246306,-5.15984917,-4.33545354,-43.07748846,3.75461465,-0.65683969,47.17850187,-16.93120860,13.90089925,70.08838539,92.50379775,47.04050202,-16.40018079,14.96032114,65.27538102,84.95323751,0.02000000,0.02521727,0.02421669,0.05526935,3,0.02000000,-193.03264,455.82880,-404.09980,-131.62371,405.14963,-408.43466,-220.16768,88.36536,-427.36785,-276.71767,58.65870,-470.52871,-113.21255,44.32862,-404.45009,-77.80962,63.72660,-458.06990,-170.02188,455.47992,-785.65390,-114.16951,372.84730,-768.04201,-225.15667,95.52956,-765.78409,-285.23095,55.24036,-722.92361,-123.73320,44.39624,-790.38096,-76.71528,61.58613,-735.62795,-151.30532,293.67878,-403.76972,-201.92960,417.85860,-380.94948,-228.69249,304.12180,-379.42950,-188.81887,398.50766,-810.59133,-212.63019,277.97898,-813.40271,-435.33623,526.52193,-394.15783,-324.08911,521.09648,-391.72428,-305.57184,451.35125,-388.09261,-442.97308,410.55421,-402.47019,-325.82601,408.09992,-414.53382,-446.58708,524.93399,-795.03343,-307.86046,518.66992,-790.00391,-456.58704,412.40934,-803.75917,-319.94125,405.71185,-779.85510,-530.59606,597.54187,-493.18565,-722.24964,525.87289,-569.23328,-529.56378,599.27623,-706.00534,-717.21466,525.58924,-649.22062,-657.56638,991.40239,-591.51730,-594.20315,961.82931,-449.17047,-589.38535,963.49017,-728.00143,-536.70283,932.85259,-570.91385,-537.15204,927.09779,-601.74963,-522.07953,885.66875,-387.43852,-448.65914,678.71873,-368.75749,-424.47928,718.60003,-318.66547,-335.76422,750.99382,-332.97561,-201.18915,752.68502,-378.51283,-197.46663,718.67279,-361.06095,-526.52166,893.59271,-797.67332,-415.68857,698.86712,-808.16915,-399.23947,744.56432,-850.34508,-293.22990,758.00028,-829.60602,-175.31417,750.94195,-781.40238,-174.55393,714.29185,-798.18146,-558.46280,482.49643,-497.66625,-554.90156,486.80071,-705.09849,-564.47132,508.35598,-523.75339,-555.64698,507.85872,-663.94197
0.03000000,29.32314294,-1.91549758,-0.73132690,-0.52790744,0.58705814,-0.60144644,58.96401130,-4.76365533,-0.06920647,94.62455315,1.65151001,6.69501449,-2.55904154,-4.45019781,58.43564874,-7.35586906,1.77868260,96.46020989,1.68354826,10.79441229,-5.24650507,-4.45019781,-43.06334006,3.82658037,-0.54849412,47.29524950,-17.12037043,13.97413460,70.26820439,92.37068407,47.38475961,-16.38767039,15.32637798,65.04150281,84.75102011,0.03000000,0.02520016,0.02420848,0.05516683,4,0.03000000,-192.99121,455.84782,-404.11574,-131.54066,405.14399,-408.31802,-220.16844,88.33945,-427.36653,-276.69547,58.71065,-470.51570,-113.21160,44.32084,-404.38299,-77.82565,63.83374,-457.84077,-170.12286,455.61322,-785.80146,-114.24711,372.91032,-768.10867,-225.15594,95.57224,-765.64573,-285.24600,55.22828,-722.65625,-123.73399,44.47767,-790.35421,-76.70515,61.64963,-735.51954,-151.34880,293.72922,-403.64406,-201.92985,417.87811,-381.04722,-228.67289,304.04628,-379.45386,-188.93572,398.50473,-810.59251,-212.70772,278.03555,-813.39779,-435.22902,526.69312,-394.31103,-324.03853,521.17212,-391.82365,-305.55690,451.34071,-388.13632,-442.92982,410.75216,-402.56696,-325.78056,408.35817,-414.42926,-446.70525,525.00213,-795.29092,-307.95312,518.74831,-790.12460,-456.67474,412.45176,-803.73972,-320.01659,405.76852,-779.81927,-530.09689,597.48574,-493.16696,-721.90704,526.40409,-569.22129,-529.21745,599.29149,-705.96618,-717.10013,525.91838,-649.15818,-655.73191,991.85087,-591.18111,-592.31053,962.03324,-448.90434,-587.56776,963.95019,-727.65287,-534.98025,933.08238,-570.55731,-536.03635,927.44931,-599.17442,-520.31990,885.85903,-387.12517,-447.11260,678.76343,-368.27046,-422.86848,718.62830,-318.40298,-334.13180,750.99346,-332.75310,-199.59596,752.59422,-378.36030,-195.85905,718.47799,-360.96175,-524.86623,894.00886,-797.18415,-414.13178,699.25035,-807.73946,-397.60943,745.19451,-850.54879,-291.56914,758.41400,-829.39518,-173.71642,751.19420,-781.27179,-172.92958,714.66956,-798.08953,-558.27581,482.51910,-497.68276,-554.80541,486.85999,-705.11576,-564.15817,508.63603,-523.42766,-555.72748,507.78419,-663.62538
0.04000000,29.19067862,-1.86584823,-0.70555479,-0.52751442,0.58715258,-0.60139308,59.09755134,-4.82611008,-0.03878677,94.65630132,1.65206412,6.56945041,-2.46414404,-4.60017421,58.57261443,-7.35132479,1.72413023,96.46631149,1.68365475,10.58457205,-5.03055984,-4.60017421,-43.14827144,3.86171498,-0.56254266,47.47242743,-17.10215694,13.93093832,70.33585640,91.60595917,47.59034479,-16.40672570,15.29421181,65.12993252,84.23150221,0.04000000,0.02520494,0.02421077,0.05506180,5,0.04000000,-192.87328,455.83359,-404.10488,-131.37937,405.14833,-408.17910,-220.15697,88.30979,-427.35969,-276.67778,58.77214,-470.52990,-113.23073,44.27492,-404.26102,-77.83061,63.88407,-457.73812,-170.22604,455.73220,-786.02171,-114.29884,372.95221,-768.16780,-225.14367,95.64922,-765.62143,-285.25767,55.24502,-722.49526,-123.72714,44.60265,-790.38276,-76.68018,61.70666,-735.46301,-151.29426,293.75469,-403.50917,-201.89992,417.92604,-380.86331,-228.54687,303.96380,-379.42551,-189.01753,398.52040,-810.58886,-212.77040,278.07710,-813.44347,-435.06509,526.82110,-394.34693,-323.87905,521.12552,-391.84896,-305.49020,451.32980,-388.17424,-442.91832,410.89378,-402.65257,-325.58717,408.30355,-414.58390,-446.82173,525.09853,-795.60848,-308.06211,518.81852,-790.17413,-456.75046,412.50164,-803.75582,-320.07927,405.82384,-779.79964,-529.40180,597.42871,-493.11448,-721.57263,526.92212,-569.11931,-528.82905,599.31040,-705.94924,-716.91242,526.35115,-648.97469,-653.72596,992.57853,-590.99613,-590.25189,962.08491,-448.69443,-585.68590,964.38595,-727.21693,-533.16462,933.23462,-570.06624,-534.76089,927.51716,-597.03768,-518.37258,885.99606,-386.82502,-445.47122,678.86278,-367.90332,-421.21985,718.65222,-318.12302,-332.39904,750.90839,-332.38938,-197.90602,752.32780,-378.19729,-194.14616,718.15822,-360.86739,-522.98776,894.47456,-796.74007,-412.46520,699.77704,-807.83300,-395.86652,745.76061,-850.55585,-289.81059,758.74788,-829.15724,-172.03183,751.41004,-781.03972,-171.25556,715.07459,-798.03154,-557.97992,482.52506,-497.69502,-554.71655,486.93737,-705.12985,-563.80103,508.78317,-523.24317,-555.61720,507.78087,-663.47816
0.05000000,28.93261682,-1.82444733,-0.65432739,-0.52692549,0.58706936,-0.60143935,59.34244685,-4.91354600,-0.05354516,94.67811089,1.65244476,6.72894593,-2.58530747,-4.67745297,58.82481871,-7.28940970,1.69059261,96.46438478,1.68362113,10.84359086,-5.24149322,-4.67745297,-43.10369837,3.90893994,-0.61155980,47.64592989,-17.13846012,14.04594437,70.36291642,91.49132037,47.84297995,-16.54220159,15.58943282,65.10636149,84.08325815,0.05000000,0.02514599,0.02418244,0.05494185,6,0.05000000,-192.69737,455.79010,-404.06666,-131.20480,405.10707,-408.21902,-220.16903,88.29365,-427.36949,-276.69824,58.79301,-470.55056,-113.22553,44.16343,-404.25608,-77.80546,63.88147,-457.78540,-170.31653,455.77786,-786.22067,-114.32922,372.97735,-768.23761,-225.12466,95.71634,-765.65648,-285.26030,55.26786,-722.40007,-123.71580,44.72207,-790.44783,-76.65745,61.75110,-735.45651,-151.22921,293.84658,-403.37573,-201.86282,417.87426,-380.64843,-228.36546,303.94897,-379.38622,-189.06476,398.54189,-810.65158,-212.76896,278.08818,-813.49244,-434.90288,526.80805,-394.21577,-323.71121,521.01985,-391.79287,-305.33404,451.34206,-388.21196,-442.85521,410.96473,-402.72919,-325.40817,408.11409,-414.78557,-446.90191,525.13834,-795.79827,-308.14286,518.83572,-790.22409,-456.81123,412.57318,-803.86896,-320.12645,405.87489,-779.82288,-528.63934,597.24703,-493.16897,-721.22620,527.38489,-568.99362,-528.40365,599.28983,-705.91651,-716.56238,526.90536,-648.74690,-651.56739,993.41935,-590.95931,-588.06070,962.18013,-448.41558,-583.67439,964.80167,-726.71821,-531.21590,933.31532,-569.62235,-532.71822,927.75331,-596.89608,-516.32819,886.04805,-386.56657,-443.80937,679.09885,-367.56543,-419.45714,718.61539,-317.72710,-330.56117,750.75165,-331.99197,-196.10304,751.96191,-377.92762,-192.35551,717.77769,-360.70157,-520.92281,894.99319,-796.46129,-410.69729,700.38144,-808.24247,-393.88951,746.46009,-850.60339,-287.96061,759.04946,-829.00107,-170.24773,751.54724,-780.81086,-169.49778,715.28818,-797.98108,-557.61967,482.42708,-497.77044,-554.62208,487.00782,-705.20564,-563.50954,508.71539,-523.40679,-555.31246,507.87274,-663.58457
0.06000000,28.77006135,-1.78288718,-0.62785289,-0.52643696,0.58715176,-0.60141306,59.49693068,-4.97017669,-0.04158300,94.70882303,1.65298079,6.60519546,-2.47804907,-4.81295957,58.98188607,-7.27069056,1.65826984,96.46507329,1.68363314,10.63567971,-5.03162451,-4.81295957,-43.20319125,3.89455052,-0.62904261,47.83157553,-17.16913377,13.99824240,70.40620794,90.79533864,48.08910429,-16.55765202,15.57634137,65.20565304,83.60389096,0.06000000,0.02508110,0.02415122,0.05490732,7,0.06000000,-192.52178,455.74053,-404.03353,-131.03992,404.98730,-408.41300,-220.18455,88.32045,-427.37704,-276.72454,58.79905,-470.55896,-113.19459,44.05595,-404.38448,-77.77260,63.86022,-457.87484,-170.37479,455.76007,-786.32418,-114.34510,372.98661,-768.31595,-225.11501,95.73975,-765.67180,-285.24615,55.28605,-722.34143,-123.71454,44.77001,-790.49265,-76.65103,61.77698,-735.46480,-151.18520,293.95280,-403.31844,-201.78987,417.69066,-380.62721,-228.22142,303.95919,-379.42712,-189.09137,398.52846,-810.75760,-212.72288,278.05226,-813.49486,-434.81363,526.71227,-394.09272,-323.58793,520.93134,-391.72084,-305.15597,451.29592,-388.29599,-442.73452,411.04391,-402.71439,-325.30526,408.09079,-414.78838,-446.94951,525.14024,-795.91174,-308.18722,518.80740,-790.31008,-456.86995,412.62810,-804.01539,-320.17439,405.90804,-779.92443,-527.96842,596.99119,-493.37019,-720.84333,527.86130,-568.75805,-527.98101,599.24255,-705.85022,-716.08534,527.46855,-648.50356,-649.32043,994.06195,-590.91941,-585.77082,962.43692,-447.93957,-581.44755,965.17037,-726.28138,-529.07765,933.36383,-569.30538,-530.00535,928.45873,-598.03797,-514.22754,886.07220,-386.31218,-442.06211,679.23640,-367.14301,-417.55981,718.53898,-317.21446,-328.63580,750.53166,-331.65843,-194.19078,751.60403,-377.61919,-190.49337,717.38093,-360.43819,-518.82728,895.49725,-796.21638,-408.87469,700.77787,-808.13028,-391.70774,747.25815,-850.84165,-286.04450,759.32948,-828.87370,-168.36157,751.59942,-780.60776,-167.63263,715.32054,-797.85789,-557.23530,482.30990,-497.84753,-554.52886,487.05060,-705.28317,-563.35222,508.67251,-523.71980,-554.99969,507.98298,-663.71392
0.07000000,28.47774478,-1.74965115,-0.54799040,-0.52582140,0.58700915,-0.60146092,59.78607697,-5.06861870,-0.06627768,94.73816111,1.65349284,6.78526321,-2.55715078,-4.87817225,59.27394270,-7.17686991,1.66500716,96.45391711,1.68343843,10.87093071,-5.23077758,-4.87817225,-43.16353359,3.94002866,-0.61715957,48.00857742,-17.32775622,14.12539215,70.45122804,90.75152564,48.41237058,-16.58748609,15.91249074,65.14610365,83.49644238,0.07000000,0.02508913,0.02415509,0.05493673,8,0.07000000,-192.35125,455.72838,-404.03536,-130.85841,404.88307,-408.52969,-220.15486,88.41349,-427.34855,-276.74941,58.84353,-470.56585,-113.20021,44.09209,-404.41621,-77.80487,63.87782,-457.89197,-170.40773,455.75127,-786.44053,-114.34555,372.97409,-768.39283,-225.12297,95.71592,-765.67011,-285.23692,55.33446,-722.42028,-123.72613,44.73734,-790.50140,-76.65179,61.77605,-735.47501,-151.07703,293.97754,-403.39292,-201.54505,417.63431,-380.72551,-228.03083,304.03149,-379.44438,-189.09685,398.46468,-810.83695,-212.69684,277.95991,-813.47595,-434.76426,526.67655,-394.11572,-323.46319,520.85957,-391.65146,-304.99971,451.21142,-388.41597,-442.59927,411.14086,-402.59347,-325.16387,408.19121,-414.72378,-446.96180,525.18331,-796.13194,-308.21368,518.76529,-790.40171,-456.92942,412.62372,-804.09342,-320.22652,405.90763,-780.07228,-527.33656,596.85203,-493.54053,-720.41178,528.46504,-568.41780,-527.54056,599.18389,-705.82736,-715.67852,527.97209,-648.21404,-646.95959,994.48332,-590.70742,-583.37300,962.68110,-447.44115,-579.09325,965.51452,-725.93627,-526.75842,933.39614,-569.09102,-527.27220,929.07395,-598.25947,-511.99318,886.10903,-385.99602,-440.17742,679.05349,-366.64868,-415.57546,718.45875,-316.77727,-326.64532,750.27306,-331.33767,-192.17022,751.21560,-377.38266,-188.56524,716.98331,-360.09355,-516.67589,895.95029,-795.87999,-406.97819,701.00326,-807.73037,-389.47075,747.81763,-850.86236,-284.07152,759.54224,-828.67648,-166.38362,751.56963,-780.37717,-165.67102,715.31859,-797.72378,-556.85401,482.33006,-497.82435,-554.44806,487.05543,-705.26397,-563.13537,508.85848,-523.75407,-554.83873,507.99406,-663.62329
0.08000000,28.31991912,-1.71372007,-0.51337702,-0.52531134,0.58709066,-0.60140821,59.94634117,-5.10925369,-0.03559897,94.79157641,1.65442511,6.67908798,-2.46905410,-4.99502950,59.42128675,-7.17459771,1.63144355,96.45484835,1.68345468,10.66644994,-5.02859824,-4.99502950,-43.30092627,3.99182600,-0.63603767,48.22276824,-17.33261243,14.08128458,70.52048367,90.15790433,48.65313034,-16.60652695,15.88487402,65.21911717,83.06885852,0.08000000,0.02517240,0.02419513,0.05503669,9,0.08000000,-192.14734,455.76845,-404.04982,-130.64347,404.87683,-408.51647,-220.11931,88.51944,-427.29874,-276.78938,58.90552,-470.57637,-113.24346,44.26826,-404.29207,-77.90463,63.96717,-457.91164,-170.44120,455.77410,-786.70150,-114.32884,372.93256,-768.51478,-225.14106,95.62375,-765.66336,-285.23531,55.40790,-722.68548,-123.73716,44.66992,-790.51143,-76.64345,61.72516,-735.49153,-150.89688,293.96139,-403.51694,-201.07713,417.92813,-380.73919,-227.73349,304.20898,-379.32119,-189.08262,398.35386,-810.91332,-212.69929,277.79768,-813.48623,-434.63515,526.68750,-394.20877,-323.32302,520.79088,-391.52352,-304.82002,451.20922,-388.45963,-442.42913,411.11925,-402.58026,-324.96265,408.22204,-414.80865,-446.93611,525.21923,-796.45303,-308.24098,518.67949,-790.45398,-456.97650,412.57563,-804.17301,-320.26020,405.84394,-780.17386,-526.63077,596.85892,-493.50732,-719.92581,529.16761,-568.17142,-526.99241,599.06417,-705.89477,-715.43726,528.51252,-647.94427,-644.41570,994.85150,-590.33213,-580.81449,962.80465,-447.13921,-576.67926,965.88186,-725.51412,-524.31783,933.43750,-568.88345,-525.36133,928.52199,-596.26444,-509.61346,886.11224,-385.64179,-438.20526,678.54847,-366.11782,-413.51968,718.36310,-316.44541,-324.57533,749.97020,-331.04895,-190.06673,750.69093,-377.15784,-186.58801,716.52829,-359.73849,-514.39140,896.32863,-795.46335,-404.97994,701.23699,-807.71623,-387.18368,748.11926,-850.52980,-282.01398,759.63527,-828.41234,-164.33444,751.43513,-780.13363,-163.63482,715.21376,-797.69340,-556.53099,482.45814,-497.71489,-554.33965,487.01529,-705.16067,-562.61873,509.05091,-523.46822,-554.74458,507.90096,-663.42508
0.09000000,28.12703634,-1.68571302,-0.48461984,-0.52476244,0.58711213,-0.60139697,60.14067670,-5.14823784,-0.01872386,94.83494512,1.65518204,6.64379633,-2.43055944,-5.08968315,59.59776348,-7.17662015,1.60298596,96.44279029,1.68324423,10.55376234,-4.90982354,-5.08968315,-43.42801799,4.05759054,-0.64899669,48.46235348,-17.32613730,14.06053439,70.60181365,89.70166530,48.89803475,-16.62759656,15.87492806,65.28568660,82.71467613,0.09000000,0.02524046,0.02422782,0.05515473,10,0.09000000,-191.89119,455.83542,-404.05886,-130.38782,404.91535,-408.55156,-220.15035,88.55413,-427.27480,-276.82052,58.93558,-470.57622,-113.28851,44.43383,-404.18829,-77.98316,64.11066,-458.07339,-170.45989,455.75034,-787.05911,-114.28645,372.88296,-768.76398,-225.15258,95.47620,-765.65561,-285.20230,55.44750,-723.01684,-123.73586,44.59166,-790.53298,-76.62913,61.62087,-735.52872,-150.69157,293.95262,-403.62476,-200.57102,418.31727,-380.69338,-227.54302,304.26981,-379.26392,-189.05851,398.21418,-811.06159,-212.68658,277.61156,-813.63009,-434.33509,526.65925,-394.25979,-323.19439,520.68598,-391.41263,-304.59407,451.29339,-388.41607,-442.19834,411.01798,-402.76635,-324.78993,408.17212,-415.02443,-446.89272,525.15508,-796.73785,-308.26621,518.51927,-790.54510,-456.99487,412.49380,-804.36849,-320.25784,405.70029,-780.22658,-525.85094,596.88192,-493.32366,-719.42123,529.83818,-568.07172,-526.32679,598.86471,-705.96747,-715.16830,529.22426,-647.83661,-641.67824,995.22926,-589.88376,-578.04819,962.92212,-446.89838,-574.09193,966.25017,-724.99023,-521.77287,933.48106,-568.59830,-523.85373,927.10119,-594.61619,-507.13223,886.07041,-385.38733,-436.11765,678.00448,-365.77812,-411.37691,718.22815,-316.07520,-322.38456,749.57790,-330.86769,-187.91834,749.99620,-376.93638,-184.52305,715.89691,-359.45560,-511.97257,896.63934,-795.06477,-402.91452,701.38842,-807.80614,-384.91130,748.31619,-850.22563,-279.85416,759.62625,-828.17101,-162.21874,751.20092,-779.90115,-161.55073,714.89342,-797.58958,-556.27613,482.55657,-497.60515,-554.14289,486.96491,-705.05480,-561.92548,508.93981,-523.28390,-554.45308,507.86112,-663.43152
